原接口名称	原接口编号	所属数据实体	所属服务名	公有/私有	MEP(消息交换模式)	合并建议	其他修订建议	所属服务体系	服务发布者	服务订阅者
本币交易系统发送给CDC的成交明细-国债做市支持系统现券买卖	RMBTS-CDC-1-8	成交信息	现券买卖成交--国债登	私有服务	双向：Out-In	/	/	核心交易体系	本币交易系统	中央国债登记结算公司
CDC发送给本币交易系统的成交反馈	RMBTS-CDC-1-R	成交信息	现券买卖成交反馈--国债登	私有服务	单向：Out-Only	/	/	核心交易体系	中央国债登记结算公司	本币交易系统
利率互换市场-（浮动）浮动成交	RMBTS-CMDS-7-8	成交信息	利率互换(浮动)浮动成交	公有服务	单向：Out-Only	本币发给本币检测、市场数据发布系统的利率互换基准互换服务合并	/	核心交易体系	本币交易系统	市场数据发布系统
利率互换基准成交数据	RMBTS-RMBMSS-16	成交信息	利率互换(浮动)浮动成交	公有服务	单向：Out-Only	本币发给本币检测、市场数据发布系统的利率互换基准互换服务合并	/	核心交易体系	本币交易系统	本币监测系统
利率互换市场-（固定）浮动成交	RMBTS-CMDS-7-7	成交信息	利率互换(固定)浮动成交	公有服务	单向：Out-Only	本币发给上清所、市场数据发布系统的利率互换固浮互换服务合并	/	核心交易体系	本币交易系统	市场数据发布系统
IRS净额清算-IRS成交业务要素	RMBTS-SHCH-16	成交信息	利率互换(固定)浮动成交	公有服务	单向：Out-Only	本币发给上清所、市场数据发布系统的利率互换固浮互换服务合并	/	核心交易体系	本币交易系统	上海清算所
利率互换市场-关联机构（浮动）浮动成交 	RMBTS-CSTP-21-10	成交信息	利率互换关联机构(浮动)浮动成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
利率互换市场-关联机构（固定）浮动成交 	RMBTS-CSTP-21-9	成交信息	利率互换关联机构(固定)浮动成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
利率互换期权市场-本方成交	RMBTS-CSTP-13-2	成交信息	利率互换期权成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
利率互换期权市场-关联机构成交	RMBTS-CSTP-27-2	成交信息	利率互换期权关联机构成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
利率上限/下限期权市场-本方成交	RMBTS-CSTP-14-2	成交信息	利率上限/下限期权成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
利率上限/下限期权市场-关联机构成交	RMBTS-CSTP-28-2	成交信息	利率上限/下限期权关联机构成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
买断式回购市场-成交	RMBTS-CMDS-3-2	成交信息	买断式回购成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
买断式回购市场-关联机构成交	RMBTS-CSTP-17-3	成交信息	买断式回购关联机构成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
超短期融资券成交-买断式回购成交	RMBTS-SHCH-4-1	成交信息	买断式回购成交--清算所超短期融资券	私有服务	双向：Out-In	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	本币交易系统	上海清算所
清算所托管短期融资券成交-买断式回购成交	RMBTS-SHCH-9-1	成交信息	买断式回购成交--清算所短期融资券	私有服务	双向：Out-In	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	本币交易系统	上海清算所
超短期融资券成交-买断式回购成交反馈	RMBTS-SHCH-4-2	成交信息	买断式回购成交反馈--清算所超短期融资券	私有服务	单向：Out-Only	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	上海清算所	本币交易系统
清算所托管短期融资券成交-买断式回购成交反馈	RMBTS-SHCH-9-2	成交信息	买断式回购成交反馈--清算所短期融资券	私有服务	单向：Out-Only	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	上海清算所	本币交易系统
同业存单成交	RMBTS-SHCH-15-1	成交信息	同业存单成交--清算所	私有服务	双向：Out-In	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	本币交易系统	上海清算所
同业存单成交反馈	RMBTS-SHCH-15-2	成交信息	同业存单成交反馈--清算所	私有服务	单向：Out-Only	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	上海清算所	本币交易系统
超短期融资券成交-现券成交	RMBTS-SHCH-2-1	成交信息	现券买卖成交--清算所超短期融资券	私有服务	双向：Out-In	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	本币交易系统	上海清算所
定向工具成交-现券市场成交	RMBTS-SHCH-12-1	成交信息	现券买卖成交--清算所定向工具                                                                         	私有服务	双向：Out-In	/	/	核心交易体系	本币交易系统	上海清算所
清算所托管短期融资券成交-现券成交	RMBTS-SHCH-7-1	成交信息	现券买卖成交--清算所短期融资券	私有服务	双向：Out-In	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	本币交易系统	上海清算所
超短期融资券成交-现券成交反馈	RMBTS-SHCH-2-2	成交信息	现券买卖成交反馈--清算所超短期融资券	私有服务	单向：Out-Only	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	上海清算所	本币交易系统
定向工具成交-现券市场成交反馈	RMBTS-SHCH-12-2	成交信息	现券买卖成交反馈--清算所定向工具                                                                         	私有服务	单向：Out-Only	/	/	核心交易体系	上海清算所	本币交易系统
清算所托管短期融资券成交-现券成交反馈	RMBTS-SHCH-7-2	成交信息	现券买卖成交反馈--清算所短期融资券	私有服务	单向：Out-Only	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	上海清算所	本币交易系统
信用风险缓释凭证成交	RMBTS-SHCH-1-1	成交信息	信用风险缓释凭证成交--清算所	私有服务	双向：Out-In	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	本币交易系统	上海清算所
信用风险缓释凭证成交反馈	RMBTS-SHCH-1-2	成交信息	信用风险缓释凭证成交反馈--清算所	私有服务	单向：Out-Only	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	上海清算所	本币交易系统
超短期融资券成交-债券借贷成交	RMBTS-SHCH-6-1	成交信息	债券借贷成交--清算所超短期融资券	私有服务	双向：Out-In	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	本币交易系统	上海清算所
清算所托管短期融资券成交-债券借贷成交	RMBTS-SHCH-11-1	成交信息	债券借贷成交--清算所短期融资券	私有服务	双向：Out-In	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	本币交易系统	上海清算所
超短期融资券成交-债券借贷成交反馈	RMBTS-SHCH-6-2	成交信息	债券借贷成交反馈--清算所超短期融资券	私有服务	单向：Out-Only	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	上海清算所	本币交易系统
清算所托管短期融资券成交-债券借贷成交反馈	RMBTS-SHCH-11-2	成交信息	债券借贷成交反馈--清算所短期融资券	私有服务	单向：Out-Only	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	上海清算所	本币交易系统
超短期融资券成交-债券远期成交	RMBTS-SHCH-5-1	成交信息	债券远期成交--清算所超短期融资券	私有服务	双向：Out-In	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	本币交易系统	上海清算所
清算所托管短期融资券成交-债券远期成交	RMBTS-SHCH-10-1	成交信息	债券远期成交--清算所短期融资券	私有服务	双向：Out-In	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	本币交易系统	上海清算所
超短期融资券成交-债券远期成交反馈	RMBTS-SHCH-5-2	成交信息	债券远期成交反馈--清算所超短期融资券	私有服务	单向：Out-Only	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	上海清算所	本币交易系统
清算所托管短期融资券成交-债券远期成交反馈	RMBTS-SHCH-10-2	成交信息	债券远期成交反馈--清算所短期融资券	私有服务	单向：Out-Only	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	上海清算所	本币交易系统
超短期融资券成交-质押式回购成交	RMBTS-SHCH-3-1	成交信息	质押式回购成交--清算所超短期融资券	私有服务	双向：Out-In	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	本币交易系统	上海清算所
清算所托管短期融资券成交-质押式回购成交	RMBTS-SHCH-8-1	成交信息	质押式回购成交--清算所短期融资券	私有服务	双向：Out-In	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	本币交易系统	上海清算所
超短期融资券成交-质押式回购成交反馈	RMBTS-SHCH-3-2	成交信息	质押式回购成交反馈--清算所超短期融资券	私有服务	单向：Out-Only	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	上海清算所	本币交易系统
清算所托管短期融资券成交-质押式回购成交反馈	RMBTS-SHCH-8-2	成交信息	质押式回购成交反馈--清算所短期融资券	私有服务	单向：Out-Only	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	上海清算所	本币交易系统
ABS成交-ABS质押式回购成交反馈	RMBTS-SHCH-14-2	成交信息	质押式回购成交反馈--清算所资产支持证券	私有服务	单向：Out-Only	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	上海清算所	本币交易系统
ABS成交-ABS质押式回购成交	RMBTS-SHCH-14-1	成交信息	质押式回购成交--清算所资产支持证券	私有服务	双向：Out-In	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	本币交易系统	上海清算所
ABS成交-ABS资产支持证券成交	RMBTS-SHCH-13-1	成交信息	现券买卖成交--资产支持证券	私有服务	双向：Out-In	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	本币交易系统	上海清算所
ABS成交-ABS资产支持证券成交反馈	RMBTS-SHCH-13-2	成交信息	现券买卖成交反馈--资产支持证券成交	私有服务	单向：Out-Only	本币与上清所的各交易产品的成交、成交反馈服务合并	/	核心交易体系	上海清算所	本币交易系统
结售汇竞价	FXTS-SHCH-6	成交信息	人民币外汇市场成交	公有服务	单向：Out-Only	/	/	核心交易体系	外汇交易系统	上海清算所
成交通知-外币拆借交易	FXTS-FXCSTP-1-8	交易通知数据	外币拆借交易成交通知	私有服务	双向：Out-In	/	/	交易后服务体系	外汇交易系统	外汇交易直通式处理系统（外汇CSTP）
外币对竞价	FXTS-SHCH-7	成交信息	外币对市场成交	公有服务	单向：Out-Only	/	/	核心交易体系	外汇交易系统	上海清算所
CSWAP成交明细	CSWAP-FXTS-5	成交信息	外汇掉期成交--CSWAP	公有服务	单向：Out-Only	/	/	核心交易体系	标准化外汇产品交易系统	外汇交易系统
按日期查询-查询请求	FXTS-PTPS-4-1	成交信息	外汇成交信息查询请求--按日期	私有服务	单向：Out-Only	/	/	核心交易体系	交易后处理系统	外汇交易系统
按日期查询-查询请求	FXTS-FXCSTP-2-1	成交信息	外汇成交信息查询请求--按日期	私有服务	单向：Out-Only	/	/	核心交易体系	外汇交易直通式处理系统（外汇CSTP）	外汇交易系统
按成交编号查询-查询请求	FXTS-FXCSTP-3-1	成交信息	外汇成交信息查询请求--单笔成交	私有服务	单向：Out-Only	/	/	核心交易体系	外汇交易直通式处理系统（外汇CSTP）	外汇交易系统
单笔成交查询-查询请求	FXTS-PTPS-3-1	成交信息	外汇成交信息查询请求--单笔成交	私有服务	单向：Out-Only	/	/	核心交易体系	交易后处理系统	外汇交易系统
有效成交查询-查询请求	FXTS-PTPS-2-1	成交信息	外汇成交信息查询请求--有效成交	私有服务	单向：Out-Only	/	/	核心交易体系	交易后处理系统	外汇交易系统
按日期查询-查询请求反馈	FXTS-PTPS-4-2	成交信息	外汇成交信息查询响应--按日期	私有服务	双向：In-Out	/	/	核心交易体系	外汇交易系统	交易后处理系统
按成交编号查询-查询请求返回	FXTS-FXCSTP-3-2	成交信息	外汇成交信息查询响应--单笔成交	私有服务	双向：In-Out	/	/	核心交易体系	外汇交易系统	外汇交易直通式处理系统（外汇CSTP）
单笔成交查询-查询请求返回	FXTS-PTPS-3-2	成交信息	外汇成交信息查询响应--单笔成交	私有服务	双向：In-Out	/	/	核心交易体系	外汇交易系统	交易后处理系统
有效成交查询-查询请求返回	FXTS-PTPS-2-2	成交信息	外汇成交信息查询响应--有效成交	私有服务	双向：In-Out	/	/	核心交易体系	外汇交易系统	交易后处理系统
成交数据-掉期	FXTS-PTPS-1-2	成交信息	外汇掉期成交	私有服务	双向：Out-In	外汇发送给交易后、上海清算所的掉期期成交服务合并	/	核心交易体系	外汇交易系统	交易后处理系统
日终批量发送完成交易确认的成交数据-掉期净额交易数据	FXTS-SHCH-1-2	成交信息	外汇掉期成交	公有服务	单向：Out-Only	外汇发给上清所、基准系统的外汇掉期成交服务合并	/	核心交易体系	外汇交易系统	上海清算所
外汇掉期成交	FXTS-BMS-2	成交信息	外汇掉期成交	公有服务	单向：Out-Only	外汇发给上清所、基准系统的外汇掉期成交服务合并	/	核心交易体系	外汇交易系统	市场基准参考系统
黄金询价掉期交易	FXTS-SGE-3	成交信息	外汇掉期成交--黄金询价交易	公有服务	单向：Out-Only	/	/	核心交易体系	外汇交易系统	上海黄金交易所
成交通知-掉期交易	FXTS-FXCSTP-1-6	交易通知数据	外汇掉期交易成交通知	私有服务	双向：Out-In	/	/	交易后服务体系	外汇交易系统	外汇交易直通式处理系统（外汇CSTP）
返回成交数据-货币互换市场	FXTS-CMDS-1-7	成交信息	外汇货币掉期成交	公有服务	单向：Out-Only	/	/	核心交易体系	外汇交易系统	市场数据发布系统
返回成交数据-利率互换市场	FXTS-CMDS-1-6	成交信息	外汇货币掉期成交--利率互换	公有服务	单向：Out-Only	/	/	核心交易体系	外汇交易系统	市场数据发布系统
日终批量发送完成交易确认的成交数据-即期/远期净额交易数据	FXTS-SHCH-1-1	成交信息	外汇即期/远期成交	公有服务	单向：Out-Only	外汇发送给交易后、上海清算所的即期/远期成交服务合并	/	核心交易体系	外汇交易系统	上海清算所
成交数据-即期/远期	FXTS-PTPS-1-1	成交信息	外汇即期/远期成交	私有服务	双向：Out-In	外汇发送给交易后的即期成交、远期成交服务合并	/	核心交易体系	外汇交易系统	交易后处理系统
返回成交数据-即期市场	FXTS-CMDS-1-2	成交信息	外汇即期成交	公有服务	单向：Out-Only	/	/	核心交易体系	外汇交易系统	市场数据发布系统
黄金询价即期交易	FXTS-SGE-1	成交信息	外汇即期成交--黄金询价交易	公有服务	单向：Out-Only	/	/	核心交易体系	外汇交易系统	上海黄金交易所
成交通知-即期交易	FXTS-FXCSTP-1-3	交易通知数据	外汇即期交易成交通知	私有服务	双向：Out-In	/	/	交易后服务体系	外汇交易系统	外汇交易直通式处理系统（外汇CSTP）
成交数据-外汇期权	FXTS-PTPS-1-3	成交信息	外汇期权成交	私有服务	双向：Out-In	/	/	核心交易体系	外汇交易系统	交易后处理系统
成交通知-期权交易	FXTS-FXCSTP-1-7	交易通知数据	外汇期权交易成交通知	私有服务	双向：Out-In	/	/	交易后服务体系	外汇交易系统	外汇交易直通式处理系统（外汇CSTP）
成交数据-即期/远期	FXTS-PTPS-1-1	成交信息	外汇即期/远期成交	私有服务	双向：Out-In	/	/	核心交易体系	外汇交易系统	交易后处理系统
外汇远期成交-成交数据	FXTS-BMS-1-2	成交信息	外汇远期成交	公有服务	单向：Out-Only	/	/	核心交易体系	外汇交易系统	市场基准参考系统
返回成交数据-NDF市场	FXTS-CMDS-1-5	成交信息	外汇远期成交--NDF	公有服务	单向：Out-Only	/	/	核心交易体系	外汇交易系统	市场数据发布系统
黄金询价远期交易	FXTS-SGE-2	成交信息	外汇远期成交--黄金询价交易	公有服务	单向：Out-Only	/	/	核心交易体系	外汇交易系统	上海黄金交易所
成交通知-远期交易	FXTS-FXCSTP-1-4	交易通知数据	外汇远期交易成交通知	私有服务	双向：Out-In	/	/	交易后服务体系	外汇交易系统	外汇交易直通式处理系统（外汇CSTP）
成交通知-轧差清算远期交易	FXTS-FXCSTP-1-5	交易通知数据	外汇轧差清算远期成交通知	私有服务	双向：Out-In	/	/	交易后服务体系	外汇交易系统	外汇交易直通式处理系统（外汇CSTP）
现券买卖市场-成交	RMBTS-CMDS-4-5	成交信息	现券买卖成交	公有服务	单向：Out-Only	确定合并	/	核心交易体系	本币交易系统	市场数据发布系统
资产支持类证券市场-成交	RMBTS-CMDS-5-6	成交信息	现券买卖成交	公有服务	单向：Out-Only	确定合并	/	核心交易体系	本币交易系统	市场数据发布系统
现券买卖市场-关联机构成交	RMBTS-CSTP-18-8	成交信息	现券买卖关联机构成交	公有服务	单向：Out-Only	确定合并	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
资产支持证券市场-关联机构成交	RMBTS-CSTP-19-7	成交信息	现券买卖市场关联机构成交	公有服务	单向：Out-Only	确定合并	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
信用拆借市场-成交	RMBTS-CMDS-1-3	成交信息	信用拆借成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
信用拆借市场-关联机构成交	RMBTS-CSTP-15-4	成交信息	信用拆借关联机构成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
信用缓释凭证市场-关联机构成交	RMBTS-CSTP-24-3	成交信息	信用缓释凭证关联机构成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
信用缓释凭证市场-本方成交	RMBTS-CSTP-10-3	成交信息	信用缓释凭证成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
预发行市场-成交	RMBTS-CMDS-11-2	成交信息	预发行市场成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
预发行市场-关联机构成交	RMBTS-CSTP-25-7	成交信息	预发行市场关联机构成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
远期利率协议市场-成交	RMBTS-CMDS-9-4	成交信息	远期利率协议成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
远期利率协议市场-关联机构成交	RMBTS-CSTP-23-5	成交信息	远期利率协议关联机构成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
债券借贷市场-成交业务	RMBTS-CMDS-8-2	成交信息	债券借贷成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
债券借贷市场-关联机构成交	RMBTS-CSTP-22-3	成交信息	债券借贷关联机构成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
债券远期市场-成交	RMBTS-CMDS-6-2	成交信息	债券远期成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
债券远期市场-关联机构成交	RMBTS-CSTP-20-3	成交信息	债券远期关联机构成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
质押式回购市场-成交	RMBTS-CMDS-2-3	成交信息	质押式回购成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
接口组-质押匿名点击成交请求交互（本币）	XTRADE-RMBTS-Repo-1	成交信息	质押匿名点击成交--本币	私有服务	双向：Out-In	/	/	核心交易体系	标准金融资产及衍生品交易系统	本币交易系统
质押匿名点击成交明细发往监测系统	XTRADE-RMBMSS-Repo-4-2	成交信息	质押匿名点击成交	公有服务	单向：Out-Only	/	/	核心交易体系	标准金融资产及衍生品交易系统	本币监测系统
接口组-质押匿名点击成交请求交互（本币）-反馈	XTRADE-RMBTS-Repo-1-R	成交信息	质押匿名点击成交反馈--本币	私有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	标准金融资产及衍生品交易系统
质押匿名点击撮合成交明细发往监测系统	XTRADE-RMBMSS-Repo-4-1	成交信息	质押匿名点击成交--撮合成交	公有服务	单向：Out-Only	/	/	核心交易体系	标准金融资产及衍生品交易系统	本币监测系统
质押式回购市场-关联机构成交	RMBTS-CSTP-16-4	成交信息	质押式回购关联机构成交	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
ETF市场-订单排列	RMBTS-CMDS-10-4	订单信息	ETF基金买卖订单排列	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
ETF市场-价格排列	RMBTS-CMDS-10-5	订单信息	ETF基金买卖价格排列	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
ETF市场-竞价订单	RMBTS-CMDS-10-2	订单信息	ETF基金买卖竞价订单	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
ETF市场-实时订单	RMBTS-CMDS-10-3	订单信息	ETF基金买卖实时订单	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
承诺指令（订单）	RMBTS-CFAT-4-1	成交信息	本币成交意向--北金所承诺指令	私有服务	单向：Out-Only	/	/	核心交易体系	北金所	本币交易系统
接收现券限价报价响应	RMBTS-RMBSCM-5-2	报价信息	现券买卖限价报价响应--结算代理模块	私有服务	单向：Out-Only	本币与本币结算代理模块交互的请求服务与响应服务合并	/	核心交易体系	结算代理模块	本币交易系统
