原接口名称	原接口编号	所属数据实体	所属服务名	公有/私有	MEP(消息交换模式)	合并建议	其他修订建议	所属服务体系	服务发布者	服务订阅者
接口组-质押匿名点击报价明细发往监测系统	XTRADE-RMBMSS-Repo-5	订单信息	质押匿名点击订单	公有服务	单向：Out-Only	/	/	核心交易体系	标准金融资产及衍生品交易系统	本币监测系统
买断式回购事前控制反馈	RMBTS-CDC-2-R	额度信息	本币买断式回购事前控制反馈--国债登	私有服务	双向：In-Out	将国债登发送给本币的买断式回购、债券远期事前控制反馈服务合并	/	核心交易体系	中央国债登记结算公司	本币交易系统
债券远期事前控制反馈	RMBTS-CDC-3-R	额度信息	本币债券远期事前控制反馈--国债登	私有服务	双向：In-Out	将国债登发送给本币的买断式回购、债券远期事前控制反馈服务合并	/	核心交易体系	中央国债登记结算公司	本币交易系统
买断式回购事前控制请求	RMBTS-CDC-2	额度信息	本币买断式回购事前控制请求--国债登	私有服务	单向：Out-Only	将本币发送给国债登的买断式回购、债券远期事前控制请求服务合并	/	核心交易体系	本币交易系统	中央国债登记结算公司
债券远期事前控制请求	RMBTS-CDC-3	额度信息	本币债券远期事前控制请求--国债登	私有服务	单向：Out-Only	将本币发送给国债登的买断式回购、债券远期事前控制请求服务合并	/	核心交易体系	本币交易系统	中央国债登记结算公司
CRS事前控制请求反馈	FXTS-ICBCRS-5-2	额度信息	外汇货币掉期事前控制反馈--货币互换--工行	私有服务	双向：In-Out	将工行发送给外汇交易系统的多交易产品的事前控制反馈服务合并	/	核心交易体系	工行事前控制系统	外汇交易系统
FORWARD事前控制请求反馈 	FXTS-ICBCRS-2-2	额度信息	外汇远期事前控制反馈--工行	私有服务	双向：In-Out	将工行发送给外汇交易系统的多交易产品的事前控制反馈服务合并	/	核心交易体系	工行事前控制系统	外汇交易系统
NDF事前控制请求反馈  	FXTS-ICBCRS-3-2	额度信息	外汇远期事前控制反馈--NDF--工行	私有服务	双向：In-Out	将工行发送给外汇交易系统的多交易产品的事前控制反馈服务合并	/	核心交易体系	工行事前控制系统	外汇交易系统
SPOT事前控制请求反馈	FXTS-ICBCRS-1-2	额度信息	外汇即期事前控制反馈--工行	私有服务	双向：In-Out	将工行发送给外汇交易系统的多交易产品的事前控制反馈服务合并	/	核心交易体系	工行事前控制系统	外汇交易系统
SWAP事前控制请求反馈	FXTS-ICBCRS-4-2	额度信息	外汇掉期事前控制反馈--工行	私有服务	双向：In-Out	将工行发送给外汇交易系统的多交易产品的事前控制反馈服务合并	/	核心交易体系	工行事前控制系统	外汇交易系统
CRS事前控制请求	FXTS-ICBCRS-5-1	额度信息	外汇货币掉期事前控制请求--货币互换--工行	私有服务	双向：Out-In	将外汇交易系统发送给工行的多交易产品的事前控制请求服务合并	/	核心交易体系	外汇交易系统	工行事前控制系统
FORWARD事前控制请求 	FXTS-ICBCRS-2-1	额度信息	外汇远期事前控制请求--工行	私有服务	双向：Out-In	将外汇交易系统发送给工行的多交易产品的事前控制请求服务合并	/	核心交易体系	外汇交易系统	工行事前控制系统
NDF事前控制请求  	FXTS-ICBCRS-3-1	额度信息	外汇远期事前控制请求--NDF--工行	私有服务	双向：Out-In	将外汇交易系统发送给工行的多交易产品的事前控制请求服务合并	/	核心交易体系	外汇交易系统	工行事前控制系统
SPOT事前控制请求	FXTS-ICBCRS-1-1	额度信息	外汇即期事前控制请求--工行	私有服务	双向：Out-In	将外汇交易系统发送给工行的多交易产品的事前控制请求服务合并	/	核心交易体系	外汇交易系统	工行事前控制系统
SWAP事前控制请求	FXTS-ICBCRS-4-1	额度信息	外汇掉期事前控制请求--工行	私有服务	双向：Out-In	将外汇交易系统发送给工行的多交易产品的事前控制请求服务合并	/	核心交易体系	外汇交易系统	工行事前控制系统
交易未完成或撤销事前控制	FXTS-ICBCRS-6	额度信息	外汇交易未完成或撤销事前控制请求--工行	私有服务	单向：Out-Only	将外汇交易系统发送给工行的多交易产品的交易未完成或撤销事前控制请求服务合并在各交易产品的前控制请求服务	建议修订为私有服务	核心交易体系	外汇交易系统	工行事前控制系统
ETF买卖-基金行情	RMBTS-CMDS-21	基础行情数据	ETF基金买卖成交行情	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
标准利率互换集中清算业务-到期交割价	RMBTS-SHCH-43-1	基础行情数据	本币标准产品到期结算价（到期交割价）	私有服务	双向：Out-In	A8、A10、A12	/	核心交易体系	本币交易系统	上海清算所
标准债券远期集中净额清算业务-到期交割价	RMBTS-SHCH-34-1	基础行情数据	本币标准产品到期结算价（到期交割价）	私有服务	双向：Out-In	A8、A10、A12	/	核心交易体系	本币交易系统	上海清算所
标准利率互换到期结算利率收到反馈	PTPS-SHCH-2-R	基础行情数据	本币标准产品到期结算价反馈（到期交割价）	私有服务	单向：Out-Only	A8、A10、A12	/	核心交易体系	上海清算所	交易后处理系统
标准利率互换集中清算业务-到期交割价收到反馈	RMBTS-SHCH-43-2	基础行情数据	本币标准产品到期结算价反馈（到期交割价）	私有服务	单向：Out-Only	A8、A10、A12	/	核心交易体系	上海清算所	本币交易系统
标准债券远期到期结算价收到反馈	PTPS-SHCH-1-R	基础行情数据	本币标准产品到期结算价反馈（到期交割价）	私有服务	单向：Out-Only	A8、A10、A12	/	核心交易体系	上海清算所	交易后处理系统
标准债券远期集中净额清算业务-到期交割价收到反馈	RMBTS-SHCH-34-2	基础行情数据	本币标准产品到期结算价反馈（到期交割价）	私有服务	单向：Out-Only	A8、A10、A12	/	核心交易体系	上海清算所	本币交易系统
清算所-每日结算价格	XTRADE-SHCH-SIRS-9	基础行情数据	本币标准产品每日结算价格	私有服务	双向：Out-In	A10、A12	/	核心交易体系	标准金融资产及衍生品交易系统	上海清算所
标准利率互换集中清算业务-每日结算价格	RMBTS-SHCH-42-1	基础行情数据	本币标准产品每日结算价格	私有服务	双向：Out-In	A8、A10、A12	/	核心交易体系	本币交易系统	上海清算所
标准债券远期集中净额清算业务-每日结算价格	RMBTS-SHCH-33-1	基础行情数据	本币标准产品每日结算价格	私有服务	双向：Out-In	A8、A10、A12	/	核心交易体系	本币交易系统	上海清算所
清算所-每日结算价格-反馈	XTRADE-SHCH-SIRS-9-R	基础行情数据	本币标准产品每日结算价格反馈	私有服务	单向：Out-Only	A10、A12	/	核心交易体系	上海清算所	标准金融资产及衍生品交易系统
标准利率互换集中清算业务-每日结算价收到反馈	RMBTS-SHCH-42-2	基础行情数据	本币标准产品每日结算价格反馈	私有服务	单向：Out-Only	A8、A10、A12	/	核心交易体系	上海清算所	本币交易系统
标准债券远期集中净额清算业务-每日结算价收到反馈	RMBTS-SHCH-33-2	基础行情数据	本币标准产品每日结算价格反馈	私有服务	单向：Out-Only	A8、A10、A12	/	核心交易体系	上海清算所	本币交易系统
行情数据/每日结算利率（CMDS）-标准利率互换成交行情数据	XTRADE-CMDS-SIRS-12-1	基础行情数据	标准利率互换成交行情	公有服务	单向：Out-Only	A16	/	核心交易体系	标准金融资产及衍生品交易系统	市场数据发布系统
成交行情数据	XTRADE-RMBTS-IRS-12	基础行情数据	标准利率互换成交行情	公有服务	单向：Out-Only	A16	/	核心交易体系	标准金融资产及衍生品交易系统	本币交易系统
行情数据/每日结算利率（CMDS）-标准利率互换档位行情	XTRADE-CMDS-SIRS-12-2	基础行情数据	标准利率互换档位行情	公有服务	单向：Out-Only	/	/	核心交易体系	标准金融资产及衍生品交易系统	市场数据发布系统
行情数据/每日结算利率（CMDS）-标准利率互换每日结算价	XTRADE-CMDS-SIRS-12-4	基础行情数据	标准利率互换每日结算价格	公有服务	单向：Out-Only	/	/	核心交易体系	标准金融资产及衍生品交易系统	市场数据发布系统
盘中参考价数据	XTRADE-RMBTS-IRS-14	基础行情数据	标准利率互换盘中参考价	公有服务	单向：Out-Only	/	/	核心交易体系	标准金融资产及衍生品交易系统	本币交易系统
行情数据/每日结算利率（CMDS）-标准利率互换最优报价行情	XTRADE-CMDS-SIRS-12-3	基础行情数据	标准利率互换最优报价行情	公有服务	单向：Out-Only	A16	/	核心交易体系	标准金融资产及衍生品交易系统	市场数据发布系统
最优报价数据	XTRADE-RMBTS-IRS-13	基础行情数据	标准利率互换最优报价行情	公有服务	单向：Out-Only	A16	/	核心交易体系	标准金融资产及衍生品交易系统	本币交易系统
行情数据/每日结算价（CMDS）	XTRADE-CMDS-SBF-13	基础行情数据	标准债券远期成交行情	公有服务	单向：Out-Only	/	/	核心交易体系	标准金融资产及衍生品交易系统	市场数据发布系统
	XTRADE-CMDS-SBF-13	基础行情数据	标准债券远期档位行情	公有服务	单向：Out-Only	/	/	核心交易体系	标准金融资产及衍生品交易系统	市场数据发布系统
	XTRADE-CMDS-SBF-13	基础行情数据	标准债券远期每日结算价格	公有服务	单向：Out-Only	/	/	核心交易体系	标准金融资产及衍生品交易系统	市场数据发布系统
	XTRADE-CMDS-SBF-13	基础行情数据	标准债券远期最优报价行情	公有服务	单向：Out-Only	/	/	核心交易体系	标准金融资产及衍生品交易系统	市场数据发布系统
CDC发送给本币交易系统的现券买卖流通量	CDC-RMBTS-1	基础行情数据	国债登--现券买卖流通量	公有服务	单向：Out-Only	/	/	核心交易体系	中央国债登记结算公司	本币交易系统
外汇掉期最优报价	ICAP-FXTS-1	基础行情数据	货币经纪--外汇掉期最优报价行情	公有服务	单向：Out-Only	A16	/	核心交易体系	国际货币经纪公司ICAP	外汇交易系统
电子白板－外汇掉期最优报价	ICAP-BMS-1	基础行情数据	货币经纪--外汇掉期最优报价行情	公有服务	单向：Out-Only	A16	/	核心交易体系	国际货币经纪公司ICAP	市场基准参考系统
外汇货币掉期最优报价	ICAP-FXTS-3	基础行情数据	货币经纪--外汇货币掉期最优报价行情	公有服务	单向：Out-Only	A16	/	核心交易体系	国际货币经纪公司ICAP	外汇交易系统
Excel报价－货币掉期最优报价	ICAP-BMS-6	基础行情数据	货币经纪--外汇货币掉期最优报价行情	公有服务	单向：Out-Only	A16	/	核心交易体系	国际货币经纪公司ICAP	市场基准参考系统
电子白板－外汇期权最优报价	ICAP-BMS-3	基础行情数据	货币经纪--外汇期权最优报价行情	公有服务	单向：Out-Only	A16	/	核心交易体系	国际货币经纪公司ICAP	市场基准参考系统
外汇远期最优报价	ICAP-FXTS-2	基础行情数据	货币经纪--外汇远期最优报价行情	公有服务	单向：Out-Only	A16	/	核心交易体系	国际货币经纪公司ICAP	外汇交易系统
电子白板－外汇远期最优报价	ICAP-BMS-2	基础行情数据	货币经纪--外汇远期最优报价行情	公有服务	单向：Out-Only	A16	/	核心交易体系	国际货币经纪公司ICAP	市场基准参考系统
利率互换市场-(浮动)浮动成交行情	RMBTS-CMDS-19-2	基础行情数据	利率互换(浮动)浮动成交行情	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
利率互换市场-(浮动)浮动双边报价行情	RMBTS-CMDS-19-4	基础行情数据	利率互换(浮动)浮动双边报价行情	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
利率互换市场-(固定)浮动成交行情	RMBTS-CMDS-19-1	基础行情数据	利率互换(固定)浮动成交行情	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
利率互换市场-(固定)浮动双边报价行情	RMBTS-CMDS-19-3	基础行情数据	利率互换(固定)浮动双边报价行情	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
买断式回购-买断式回购利率行情	RMBTS-CMDS-14-1	基础行情数据	买断式回购成交行情	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
买断式回购-到期净价行情	RMBTS-CMDS-14-3	基础行情数据	买断式回购到期净价行情	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
买断式回购-首次净价行情	RMBTS-CMDS-14-2	基础行情数据	买断式回购首次净价行情	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
返回行情数据-成交行情（含即/远/NDF）	FXTS-CMDS-2-3	基础行情数据	人民币外汇成交行情	公有服务	单向：Out-Only	A16	/	核心交易体系	外汇交易系统	市场数据发布系统
市场行情	FXTS-CHINAMONEY-3	基础行情数据	人民币外汇成交行情	公有服务	单向：Out-Only	A16	/	核心交易体系	外汇交易系统	中国货币网
返回行情数据-最优报价（含即/远/NDF）	FXTS-CMDS-2-4	基础行情数据	人民币外汇单向最优报价行情	公有服务	单向：Out-Only	/	/	核心交易体系	外汇交易系统	市场数据发布系统
 最优报价	FXTS-CHINAMONEY-2	基础行情数据	人民币外汇双向最优报价行情	公有服务	单向：Out-Only	/	/	核心交易体系	外汇交易系统	中国货币网
档位行情	CSWAP-FXTS-2	基础行情数据	外汇档位行情--Cswap掉期	公有服务	单向：Out-Only	/	/	核心交易体系	标准化外汇产品交易系统	外汇交易系统
CSWAP最优报价行情	CSWAP-FXTS-6	基础行情数据	外汇最优报价行情--Cswap掉期	公有服务	单向：Out-Only	/	/	核心交易体系	标准化外汇产品交易系统	外汇交易系统
现券买卖市场行情	RMBTS-CMDS-15	基础行情数据	现券买卖成交行情	公有服务	单向：Out-Only	A14	/	核心交易体系	本币交易系统	市场数据发布系统
资产支持证券市场行情	RMBTS-CMDS-16	基础行情数据	现券买卖成交行情	公有服务	单向：Out-Only	A14	/	核心交易体系	本币交易系统	市场数据发布系统
信用拆借-信用拆借市场行情	RMBTS-CMDS-12-1	基础行情数据	信用拆借成交行情	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
信用拆借-存款类机构信用拆借市场行情	RMBTS-CMDS-12-2	基础行情数据	信用拆借成交行情-存款类机构信用拆借市场行情	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
信用拆借-国际金融资产交易行情数据	RMBTS-CMDS-12-3	基础行情数据	信用拆借成交行情-国际金融资产交易行情	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
预发行-点击成交行情	RMBTS-CMDS-22-2	基础行情数据	预发行-点击成交行情	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
预发行-汇总行情	RMBTS-CMDS-22-3	基础行情数据	预发行市场行情	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
预发行-RFQ行情	RMBTS-CMDS-22-1	基础行情数据	预发行市场请求报价行情	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
远期利率协议-成交行情	RMBTS-CMDS-20-1	基础行情数据	远期利率协议成交行情	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
远期利率协议-双向报价行情	RMBTS-CMDS-20-2	基础行情数据	远期利率协议双边报价行情	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
债券借贷-标的债券借贷费率行情	RMBTS-CMDS-18-1	基础行情数据	债券借贷-标的债券借贷费率行情	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
债券借贷-交易品种费率行情	RMBTS-CMDS-18-2	基础行情数据	债券借贷-交易品种费率行情	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
债券远期市场行情	RMBTS-CMDS-17	基础行情数据	债券远期成交行情	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
质押式回购-质押式回购市场行情	RMBTS-CMDS-13-1	基础行情数据	质押式回购成交行情	公有服务	单向：Out-Only	A16	/	核心交易体系	本币交易系统	市场数据发布系统
质押匿名点击成交行情发往CMDS	XTRADE-CMDS-Repo-8-1	基础行情数据	质押匿名点击成交行情	公有服务	单向：Out-Only	/	/	核心交易体系	标准金融资产及衍生品交易系统	市场数据发布系统
质押式回购-存款类机构质押式回购市场行情	RMBTS-CMDS-13-2	基础行情数据	质押式回购-存款类机构质押式回购市场行情	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
质押匿名点击档位行情发往CMDS	XTRADE-CMDS-Repo-8-2	基础行情数据	质押匿名点击档位行情	公有服务	单向：Out-Only	/	/	核心交易体系	标准金融资产及衍生品交易系统	市场数据发布系统
质押式回购-质押式回购汇总成交行情	RMBTS-CMDS-13-3	基础行情数据	质押式回购-质押式回购汇总成交行情	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
质押匿名点击最优报价行情发往CMDS	XTRADE-CMDS-Repo-8-3	基础行情数据	质押匿名点击最优报价行情	公有服务	单向：Out-Only	/	/	核心交易体系	标准金融资产及衍生品交易系统	市场数据发布系统
做市券种最优双边报价数据	RMBTS-RMBMSS-9	基础行情数据	做市券种最优双边报价行情	公有服务	单向：Out-Only	A16	/	核心交易体系	本币交易系统	本币监测系统
收益率曲线－基准券定盘曲线最优报价	BMS-CMDS-18	基准曲线	基准券定盘曲线最优报价行情	公有服务	单向：Out-Only	/	/	核心交易体系	市场基准参考系统	市场数据发布系统
收益率曲线－基准券实时报价	BMS-CMDS-11	基准曲线	基准券实时最优报价	公有服务	单向：Out-Only	/	/	核心交易体系	市场基准参考系统	市场数据发布系统
收益率曲线－做市券种最优双边报价	BMS-CMDS-15	基准曲线	做市券种最优双边报价行情	公有服务	单向：Out-Only	A16	/	核心交易体系	市场基准参考系统	市场数据发布系统
保证金数据	SHCH-FXTS-1	保证金数据	清算所--外汇会员保证金数据	私有服务	单向：Out-Only	/	/	交易后服务体系	上海清算所	外汇交易系统
起息日信息	SHCH-FXTS-7	产品基础信息	清算所--NDF远期起息日	公有服务	单向：Out-Only	/	/	交易后服务体系	上海清算所	外汇交易系统
ABS变动	SHCH-RMBTS-6	产品基础信息	清算所--债券付息信息--资产支持证券付息	公有服务	单向：Out-Only	/	/	交易后服务体系	上海清算所	本币交易系统
备案	RMBTS-PTPS-8	成交备案信息	本币成交备案	公有服务	单向：Out-Only	A16	/	交易后服务体系	本币交易系统	交易后处理系统
备案成交信息	CTRS-RMBMSS-1	成交备案信息	本币成交备案	公有服务	单向：Out-Only	A16	/	交易后服务体系	中心交易信息备案系统	本币监测系统
交易后处理平台确认	PTPS-RMBTS-4	成交确认数据	本币成交确认状态	公有服务	单向：Out-Only	A16	/	交易后服务体系	交易后处理系统	本币交易系统
确认状态变化消息	PTPS-RMBTS-5	成交确认数据	本币成交确认状态	公有服务	单向：Out-Only	A16	/	交易后服务体系	交易后处理系统	本币交易系统
利率互换期权市场交易确认状态更新	PTPS-RMBTS-6	成交确认数据	利率互换期权成交确认	公有服务	单向：Out-Only	/	/	交易后服务体系	交易后处理系统	本币交易系统
本币产品发行确权-同业存单发行确权	RMBTS-SHCH-24-1	成交确认数据	清算所--交易工具发行确权	私有服务	双向：Out-In	A10、A12	/	交易后服务体系	本币交易系统	上海清算所
同业存单发行确权（发行确权）	ICDIS-SHCH-1	成交确认数据	清算所--交易工具发行确权	私有服务	双向：Out-In	A10、A12	/	交易后服务体系	货币及债务工具发行系统（原名：同业存单发行系统）	上海清算所
本币产品发行确权-同业存单发行确权反馈	RMBTS-SHCH-24-2	成交确认数据	清算所--交易工具发行确权反馈	私有服务	单向：Out-Only	A10、A12	/	交易后服务体系	上海清算所	本币交易系统
同业存单发行确权反馈	ICDIS-SHCH-1-R	成交确认数据	清算所--交易工具发行确权反馈	私有服务	单向：Out-Only	A10、A12	/	交易后服务体系	上海清算所	货币及债务工具发行系统（原名：同业存单发行系统）
成交确认	FXTS-PTPS-1-R	成交信息	外汇成交反馈	私有服务	单向：Out-Only	/	/	核心交易体系	交易后处理系统	外汇交易系统
冲销冻结	PTPS-RMBTS-1	交易冲销数据	冲销冻结	公有服务	单向：Out-Only	/	/	交易后服务体系	交易后处理系统	本币交易系统
多边冲销解冻	PTPS-RMBTS-3	交易冲销数据	冲销解冻	公有服务	单向：Out-Only	/	/	交易后服务体系	交易后处理系统	本币交易系统
多边冲销计算结果数据	PTPS-RMBTS-2	交易冲销数据	多边冲销计算结果数据	私有服务	单向：Out-Only	/	/	交易后服务体系	交易后处理系统	本币交易系统
双边冲销	RMBTS-PTPS-1	交易冲销数据	双边冲销	公有服务	单向：Out-Only	/	/	交易后服务体系	本币交易系统	交易后处理系统
双边冲销撤销	RMBTS-PTPS-2	交易冲销数据	双边冲销撤销	私有服务	双向：Out-In	A12	/	交易后服务体系	本币交易系统	交易后处理系统
双边冲销撤销反馈	RMBTS-PTPS-2-R	交易冲销数据	双边冲销撤销反馈	私有服务	单向：Out-Only	A12	/	交易后服务体系	交易后处理系统	本币交易系统
标准债券远期集中净额清算业务-会员交易强行平仓撤销请求	RMBTS-SHCH-28-1	交易平仓数据	清算所--本币标准产品交易平仓撤销请求	私有服务	单向：Out-Only	A8、A10、A12	/	交易后服务体系	本币交易系统	上海清算所
清算所-会员交易强行平仓撤销	SHCH-XTRADE-SIRS-4	交易平仓数据	清算所--本币标准产品交易平仓撤销请求	私有服务	双向：Out-In	A10、A12	/	交易后服务体系	上海清算所	标准金融资产及衍生品交易系统
标准利率互换集中清算业务-会员交易强行平仓撤销请求	RMBTS-SHCH-38-1	交易平仓数据	清算所--本币标准产品交易平仓撤销请求	私有服务	单向：Out-Only	A8、A10、A12	/	交易后服务体系	本币交易系统	上海清算所
清算所-会员交易强行平仓撤销-反馈	SHCH-XTRADE-SIRS-4-R	交易平仓数据	清算所--本币标准产品交易平仓撤销请求反馈	私有服务	单向：Out-Only	A10、A12	/	交易后服务体系	标准金融资产及衍生品交易系统	上海清算所
