服务编号	所属服务体系	所属主体域	所属数据实体	所属数据实体类型	所属服务名	MEP(消息交换模式)	公有/私有	对方接口编号（私有服务）	接口名称	接口编号	服务合并建议	服务数据更新时间	服务数据更新频率	私有服务同一业务双向交互编号	数据交换方式	服务发布者	服务订阅者
PUB-RMBTS-I-0028	核心交易体系	指令数据	报价信息	意向报价	利率互换(固定)浮动意向报价	单向：Out-Only	公有服务		利率互换市场-（固定）浮动意向报价	RMBTS-CMDS-7-1	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0101	核心交易体系	指令数据	报价信息	点击成交报价	利率互换关联机构(浮动)浮动点击成交报价	单向：Out-Only	公有服务		利率互换市场-关联机构（浮动）浮动点击成交报价	RMBTS-CSTP-21-7	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0100	核心交易体系	指令数据	报价信息	对话报价	利率互换关联机构(浮动)浮动对话报价	单向：Out-Only	公有服务		利率互换市场-关联机构（浮动）浮动对话报价	RMBTS-CSTP-21-6	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0102	核心交易体系	指令数据	报价信息	双向报价	利率互换关联机构(浮动)浮动双向报价	单向：Out-Only	公有服务		利率互换市场-关联机构（浮动）浮动双向报价	RMBTS-CSTP-21-8	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0099	核心交易体系	指令数据	报价信息	意向报价	利率互换关联机构(浮动)浮动意向报价	单向：Out-Only	公有服务		利率互换市场-关联机构（浮动）浮动意向报价	RMBTS-CSTP-21-5	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0097	核心交易体系	指令数据	报价信息	点击成交报价	利率互换关联机构(固定)浮动点击成交报价	单向：Out-Only	公有服务		利率互换市场-关联机构（固定）浮动一次确认点击成交报价	RMBTS-CSTP-21-3	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0096	核心交易体系	指令数据	报价信息	对话报价	利率互换关联机构(固定)浮动对话报价	单向：Out-Only	公有服务		利率互换市场-关联机构（固定）浮动对话报价	RMBTS-CSTP-21-2	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0098	核心交易体系	指令数据	报价信息	双向报价	利率互换关联机构(固定)浮动双向报价	单向：Out-Only	公有服务		利率互换市场-关联机构（固定）浮动双向报价	RMBTS-CSTP-21-4	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0095	核心交易体系	指令数据	报价信息	意向报价	利率互换关联机构(固定)浮动意向报价	单向：Out-Only	公有服务		利率互换市场-关联机构（固定）浮动意向报价	RMBTS-CSTP-21-1	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0052	核心交易体系	指令数据	报价信息	对话报价	利率互换期权对话报价	单向：Out-Only	公有服务		利率互换期权市场-本方对话报价	RMBTS-CSTP-13-1	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0121	核心交易体系	指令数据	报价信息	对话报价	利率互换期权关联机构对话报价	单向：Out-Only	公有服务		利率互换期权市场-关联机构对话报价	RMBTS-CSTP-27-1	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-ICAP-I-0009	核心交易体系	指令数据	报价信息	点击成交报价	利率互换市场最优报价--货币经纪	单向：Out-Only	公有服务		Excel报价－利率互换报价	ICAP-BMS-7	/			/	IMIX	国际货币经纪公司ICAP	市场基准参考系统
PUB-RMBTS-I-0054	核心交易体系	指令数据	报价信息	对话报价	利率上限/下限期权对话报价	单向：Out-Only	公有服务		利率上限/下限期权市场-本方对话报价	RMBTS-CSTP-14-1	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0123	核心交易体系	指令数据	报价信息	对话报价	利率上限/下限期权关联机构对话报价	单向：Out-Only	公有服务		利率上限/下限期权市场-关联机构对话报价	RMBTS-CSTP-28-1	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0010	核心交易体系	指令数据	报价信息	对话报价	买断式回购对话报价	单向：Out-Only	公有服务		买断式回购市场-本方对话报价	RMBTS-CSTP-3-2	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0077	核心交易体系	指令数据	报价信息	对话报价	买断式回购关联机构对话报价	单向：Out-Only	公有服务		买断式回购市场-关联机构对话报价	RMBTS-CSTP-17-2	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0076	核心交易体系	指令数据	报价信息	意向报价	买断式回购关联机构意向报价	单向：Out-Only	公有服务		买断式回购市场-关联机构意向报价	RMBTS-CSTP-17-1	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0009	核心交易体系	指令数据	报价信息	意向报价	买断式回购意向报价	单向：Out-Only	公有服务		买断式回购市场-意向报价	RMBTS-CMDS-3-1	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-ICAP-I-0004	核心交易体系	指令数据	报价信息	外汇市场	外汇期权最优报价--货币经纪	单向：Out-Only	公有服务		外汇期权报价	ICAP-FXTS-4	/			/	IMIX	国际货币经纪公司ICAP	外汇交易系统
PUB-ICAP-I-0010	核心交易体系	指令数据	报价信息	点击成交报价	现券买卖标准单边报价--货币经纪	单向：Out-Only	公有服务		债券台－现券买卖标准单边报价	ICAP-BMS-8	/			/	IMIX	国际货币经纪公司ICAP	市场基准参考系统
PUB-ICAP-I-0011	核心交易体系	指令数据	报价信息	点击成交报价	现券买卖标准双边报价--货币经纪	单向：Out-Only	公有服务		债券台－现券买卖标准双边报价	ICAP-BMS-9	/			/	IMIX	国际货币经纪公司ICAP	市场基准参考系统
PUB-ICAP-I-0013	核心交易体系	指令数据	报价信息	点击成交报价	现券买卖单边无价格无数量报价--货币经纪	单向：Out-Only	公有服务		债券台－现券买卖单边无价格无数量报价	ICAP-BMS-11	/			/	IMIX	国际货币经纪公司ICAP	市场基准参考系统
PUB-ICAP-I-0012	核心交易体系	指令数据	报价信息	点击成交报价	现券买卖单边无价格有数量报价--货币经纪	单向：Out-Only	公有服务		债券台－现券买卖单边无价格有数量报价	ICAP-BMS-10	/			/	IMIX	国际货币经纪公司ICAP	市场基准参考系统
PUB-RMBTS-I-0014	核心交易体系	指令数据	报价信息	点击成交报价	现券买卖点击成交报价	单向：Out-Only	公有服务		现券买卖市场-点击成交报价	RMBTS-CMDS-4-2	/			/	IMIX	本币交易系统	市场数据发布系统
PRV-RMBTS-I-0007	核心交易体系	指令数据	报价信息	点击成交报价	现券买卖点击成交报价请求--结算代理模块	双向：Out-In	私有服务	PRV-RMBSCM-I-0006	发送现券点击成交报价	RMBTS-RMBSCM-4-1	/			2.0	IMIX	本币交易系统	结算代理模块
PRV-RMBSCM-I-0006	核心交易体系	指令数据	报价信息	点击成交报价	现券买卖点击成交报价响应--结算代理模块	单向：Out-Only	私有服务	PRV-RMBTS-I-0007	接收现券点击成交报价响应	RMBTS-RMBSCM-4-2	/			2.0	IMIX	结算代理模块	本币交易系统
PUB-RMBTS-I-0020	核心交易体系	指令数据	报价信息	点击成交报价	现券买卖点击成交报价--资产支持证券	单向：Out-Only	公有服务		资产支持类证券市场-点击成交报价	RMBTS-CMDS-5-2	确认合并，本币发送给市场数据发布系统的资产支持证券点击成交报价服务合并至本币发送给数据发布系统的现券买卖点击成交报价			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0013	核心交易体系	指令数据	报价信息	对话报价	现券买卖对话报价	单向：Out-Only	公有服务		现券买卖市场-本方对话报价	RMBTS-CSTP-4-4	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PRV-RMBTS-I-0006	核心交易体系	指令数据	报价信息	对话报价	现券买卖对话报价请求--结算代理模块	双向：Out-In	私有服务	PRV-RMBSCM-I-0005	发送现券对话报价	RMBTS-RMBSCM-3-1	/			3.0	IMIX	本币交易系统	结算代理模块
PRV-RMBSCM-I-0005	核心交易体系	指令数据	报价信息	对话报价	现券买卖对话报价响应--结算代理模块	单向：Out-Only	私有服务	PRV-RMBTS-I-0006	接收现券对话报价响应	RMBTS-RMBSCM-3-2	/			3.0	IMIX	结算代理模块	本币交易系统
PUB-RMBTS-I-0019	核心交易体系	指令数据	报价信息	对话报价	现券买卖对话报价--资产支持证券	单向：Out-Only	公有服务		资产支持证券市场-本方对话报价	RMBTS-CSTP-5-2	确认合并，本币发送给本币CSTP的资产支持证券对话报价服务合并至本币发送给本币CSTP的现券买卖对话报价			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0081	核心交易体系	指令数据	报价信息	点击成交报价	现券买卖关联机构点击成交报价	单向：Out-Only	公有服务		现券买卖市场-关联机构点击成交报价	RMBTS-CSTP-18-5	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0088	核心交易体系	指令数据	报价信息	点击成交报价	现券买卖关联机构点击成交报价--资产支持证券	单向：Out-Only	公有服务		资产支持证券市场-关联机构点击成交报价	RMBTS-CSTP-19-3	确认合并，本币发送给本币CSTP的资产支持证券对话报价服务合并至本币发送给本币CSTP的现券买卖对话报价			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0080	核心交易体系	指令数据	报价信息	对话报价	现券买卖关联机构对话报价	单向：Out-Only	公有服务		现券买卖市场-关联机构对话报价	RMBTS-CSTP-18-4	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0086	核心交易体系	指令数据	报价信息	对话报价	现券买卖关联机构对话报价--资产支持证券	单向：Out-Only	公有服务		资产支持证券市场-关联机构对话报价	RMBTS-CSTP-19-2	确认合并，本币发送给本币CSTP的资产支持证券对话报价服务合并至本币发送给本币CSTP的现券买卖对话报价			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PRV-RMBTS-I-0010	核心交易体系	指令数据	报价信息	请求报价	现券买卖关联机构请求报价请求	单向：Out-Only	私有服务	PRV-RMBCSTP-I-0003	现券买卖市场-关联机构RFQ报价请求	RMBTS-CSTP-18-2	/			53.0	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PRV-RMBCSTP-I-0003	核心交易体系	指令数据	报价信息	请求报价	现券买卖关联机构请求报价响应	双向：In-Out	私有服务	PRV-RMBTS-I-0010	现券买卖市场-关联机构RFQ报价请求回复	RMBTS-CSTP-18-3	/			53.0	IMIX	本币交易直通式处理系统（本币CSTP）	本币交易系统
PUB-RMBTS-I-0087	核心交易体系	指令数据	报价信息	双向报价	现券买卖关联机构双向报价	单向：Out-Only	公有服务		资产支持证券市场-关联机构双向报价	RMBTS-CSTP-19-5	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0083	核心交易体系	指令数据	报价信息	限价报价	现券买卖关联机构限价报价	单向：Out-Only	公有服务		现券买卖市场-关联机构限价报价	RMBTS-CSTP-18-7	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0090	核心交易体系	指令数据	报价信息	限价报价	现券买卖关联机构限价报价--资产支持证券	单向：Out-Only	公有服务		资产支持证券市场-关联机构限价报价	RMBTS-CSTP-19-6	确认合并，本币发送给本币CSTP的资产支持证券关联机构限价报价服务合并至本币发送给本币CSTP的现券买卖关联机构限价报价			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0079	核心交易体系	指令数据	报价信息	意向报价	现券买卖关联机构意向报价	单向：Out-Only	公有服务		现券买卖市场-关联机构意向报价	RMBTS-CSTP-18-1	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0085	核心交易体系	指令数据	报价信息	意向报价	现券买卖关联机构意向报价--资产支持证券	单向：Out-Only	公有服务		资产支持证券市场-关联机构意向报价	RMBTS-CSTP-19-1	确认合并，本币发送给本币CSTP的资产支持证券关联机构意向报价服务合并至本币发送给本币CSTP的现券买卖关联机构意向报价			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0082	核心交易体系	指令数据	报价信息	点击成交报价	现券买卖关联机构做市报价	单向：Out-Only	公有服务		现券买卖市场-关联机构做市报价	RMBTS-CSTP-18-6	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0089	核心交易体系	指令数据	报价信息	点击成交报价	现券买卖关联机构做市报价--资产支持证券	单向：Out-Only	公有服务		资产支持证券市场-关联机构做市报价	RMBTS-CSTP-19-4	确认合并，本币发送给本币CSTP的资产支持证券关联机构做市报价服务合并至本币发送给本币CSTP的现券买卖关联机构做市报价			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PRV-RMBTS-I-0005	核心交易体系	指令数据	报价信息	请求报价	现券买卖请求报价请求	双向：Out-In	私有服务	PRV-RMBCSTP-I-0001	现券买卖市场-本方RFQ报价请求	RMBTS-CSTP-4-2	/			54.0	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PRV-RMBCSTP-I-0001	核心交易体系	指令数据	报价信息	请求报价	现券买卖请求报价响应	单向：Out-Only	私有服务	PRV-RMBTS-I-0005	现券买卖市场-本方RFQ报价回复	RMBTS-CSTP-4-3	/			54.0	IMIX	本币交易直通式处理系统（本币CSTP）	本币交易系统
PUB-RMBTS-I-0021	核心交易体系	指令数据	报价信息	双向报价	现券买卖双向报价	单向：Out-Only	公有服务		资产支持类证券市场-双向报价	RMBTS-CMDS-5-3	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-ICAP-I-0014	核心交易体系	指令数据	报价信息	双向报价	现券买卖双向单价格单数量报价--货币经纪	单向：Out-Only	公有服务		债券台－现券买卖双向单价格单数量报价	ICAP-BMS-12	/			/	IMIX	国际货币经纪公司ICAP	市场基准参考系统
PUB-ICAP-I-0015	核心交易体系	指令数据	报价信息	双向报价	现券买卖双向双价格单数量报价--货币经纪	单向：Out-Only	公有服务		债券台－现券买卖双向双价格单数量报价	ICAP-BMS-13	/			/	IMIX	国际货币经纪公司ICAP	市场基准参考系统
PUB-RMBTS-I-0016	核心交易体系	指令数据	报价信息	限价报价	现券买卖限价报价	单向：Out-Only	公有服务		现券买卖市场-限价报价	RMBTS-CMDS-4-4	/			/	IMIX	本币交易系统	市场数据发布系统
PRV-RMBTS-I-0008	核心交易体系	指令数据	报价信息	限价报价	现券买卖限价报价请求--结算代理模块	双向：Out-In	私有服务	PRV-RMBSCM-I-0007	发送现券限价报价	RMBTS-RMBSCM-5-1	/			4.0	IMIX	本币交易系统	结算代理模块
PRV-RMBSCM-I-0007	核心交易体系	指令数据	报价信息	限价报价	现券买卖限价报价响应--结算代理模块	单向：Out-Only	私有服务	PRV-RMBTS-I-0008	接收现券限价报价响应	RMBTS-RMBSCM-5-2	/			4.0	IMIX	结算代理模块	本币交易系统
PUB-RMBTS-I-0023	核心交易体系	指令数据	报价信息	限价报价	现券买卖限价报价--资产支持证券	单向：Out-Only	公有服务		资产支持类证券市场-限价报价	RMBTS-CMDS-5-5	确认合并，本币发送给市场数据发布系统的资产支持证券限价报价服务合并至本币发送给数据发布系统的现券买卖限价报价			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0012	核心交易体系	指令数据	报价信息	意向报价	现券买卖意向报价	单向：Out-Only	公有服务		现券买卖市场-意向报价	RMBTS-CMDS-4-1	/			/	IMIX	本币交易系统	市场数据发布系统
PRV-RMBTS-I-0004	核心交易体系	指令数据	报价信息	意向报价	现券买卖意向报价请求--结算代理模块	双向：Out-In	私有服务	PRV-RMBSCM-I-0004	发送现券意向报价	RMBTS-RMBSCM-2-1	/			5.0	IMIX	本币交易系统	结算代理模块
PRV-RMBSCM-I-0004	核心交易体系	指令数据	报价信息	意向报价	现券买卖意向报价响应--结算代理模块	单向：Out-Only	私有服务	PRV-RMBTS-I-0004	接收现券意向报价响应	RMBTS-RMBSCM-2-2	/			5.0	IMIX	结算代理模块	本币交易系统
PUB-RMBTS-I-0018	核心交易体系	指令数据	报价信息	意向报价	现券买卖意向报价--资产支持证券	单向：Out-Only	公有服务		资产支持类证券市场-意向报价	RMBTS-CMDS-5-1	确认合并，本币发送给市场数据发布系统的资产支持证券意向报价服务合并至本币发送给数据发布系统的现券买卖意向报价			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0015	核心交易体系	指令数据	报价信息	点击成交报价	现券买卖做市报价	单向：Out-Only	公有服务		现券买卖市场-做市报价	RMBTS-CMDS-4-3	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0022	核心交易体系	指令数据	报价信息	点击成交报价	现券买卖做市报价--资产支持证券	单向：Out-Only	公有服务		资产支持类证券市场-做市报价	RMBTS-CMDS-5-4	确认合并，本币发送给市场数据发布系统的资产支持证券做市报价服务合并至本币发送给数据发布系统的现券买卖做市报价			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0003	核心交易体系	指令数据	报价信息	对话报价	信用拆借对话报价	单向：Out-Only	公有服务		信用拆借市场-本方对话报价	RMBTS-CSTP-1-2	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0069	核心交易体系	指令数据	报价信息	对话报价	信用拆借关联机构对话报价	单向：Out-Only	公有服务		信用拆借市场-关联机构对话报价	RMBTS-CSTP-15-2	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0070	核心交易体系	指令数据	报价信息	双向报价	信用拆借关联机构双向报价	单向：Out-Only	公有服务		信用拆借市场-关联机构双向报价	RMBTS-CSTP-15-3	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0068	核心交易体系	指令数据	报价信息	意向报价	信用拆借关联机构意向报价	单向：Out-Only	公有服务		信用拆借市场-关联机构意向报价	RMBTS-CSTP-15-1	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0002	核心交易体系	指令数据	报价信息	双向报价	信用拆借双向报价	单向：Out-Only	公有服务		信用拆借市场-双向报价	RMBTS-CMDS-1-2	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0001	核心交易体系	指令数据	报价信息	意向报价	信用拆借意向报价	单向：Out-Only	公有服务		信用拆借市场-意向报价	RMBTS-CMDS-1-1	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0114	核心交易体系	指令数据	报价信息	对话报价	信用缓释凭证关联机构对话报价	单向：Out-Only	公有服务		信用缓释凭证市场-关联机构对话报价	RMBTS-CSTP-24-2	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0113	核心交易体系	指令数据	报价信息	意向报价	信用缓释凭证关联机构意向报价	单向：Out-Only	公有服务		信用缓释凭证市场-关联机构意向报价	RMBTS-CSTP-24-1	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0050	核心交易体系	指令数据	报价信息	对话报价	信用缓释凭证市场对话报价	单向：Out-Only	公有服务		信用缓释凭证市场-本方对话报价	RMBTS-CSTP-10-2	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0049	核心交易体系	指令数据	报价信息	意向报价	信用缓释凭证市场意向报价	单向：Out-Only	公有服务		信用缓释凭证市场-本方意向报价	RMBTS-CSTP-10-1	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0063	核心交易体系	指令数据	报价信息	点击成交报价	预发行市场点击成交报价	单向：Out-Only	公有服务		预发行市场-点击成交报价	RMBTS-CMDS-11-1	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0064	核心交易体系	指令数据	报价信息	对话报价	预发行市场对话报价	单向：Out-Only	公有服务		预发行市场-本方对话报价	RMBTS-CSTP-11-4	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0117	核心交易体系	指令数据	报价信息	点击成交报价	预发行市场关联机构点击成交报价	单向：Out-Only	公有服务		预发行市场-关联机构点击成交报价	RMBTS-CSTP-25-5	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0118	核心交易体系	指令数据	报价信息	对话报价	预发行市场关联机构对话报价	单向：Out-Only	公有服务		预发行市场-关联机构对话报价	RMBTS-CSTP-25-4	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PRV-RMBTS-I-0011	核心交易体系	指令数据	报价信息	请求报价	预发行市场关联机构请求报价请求	单向：Out-Only	私有服务	PRV-RMBCSTP-I-0004	预发行市场-RFQ报价请求（关联机构）	RMBTS-CSTP-25-2	/			55.0	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PRV-RMBCSTP-I-0004	核心交易体系	指令数据	报价信息	请求报价	预发行市场关联机构请求报价响应	双向：In-Out	私有服务	PRV-RMBTS-I-0011	预发行市场-RFQ报价 （关联机构）	RMBTS-CSTP-25-3	/			55.0	IMIX	本币交易直通式处理系统（本币CSTP）	本币交易系统
PUB-RMBTS-I-0119	核心交易体系	指令数据	报价信息	限价报价	预发行市场关联机构限价报价	单向：Out-Only	公有服务		预发行市场-关联机构限价报价	RMBTS-CSTP-25-6	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0116	核心交易体系	指令数据	报价信息	意向报价	预发行市场关联机构意向报价	单向：Out-Only	公有服务		预发行市场-关联机构意向报价	RMBTS-CSTP-25-1	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PRV-RMBTS-I-0009	核心交易体系	指令数据	报价信息	请求报价	预发行市场请求报价请求	单向：Out-Only	私有服务	PRV-RMBCSTP-I-0002	预发行市场-RFQ报价请求	RMBTS-CSTP-11-2	/			56.0	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PRV-RMBCSTP-I-0002	核心交易体系	指令数据	报价信息	请求报价	预发行市场请求报价响应	双向：In-Out	私有服务	PRV-RMBTS-I-0009	预发行市场-RFQ报价 	RMBTS-CSTP-11-3	/			56.0	IMIX	本币交易直通式处理系统（本币CSTP）	本币交易系统
PUB-RMBTS-I-0065	核心交易体系	指令数据	报价信息	限价报价	预发行市场限价报价	单向：Out-Only	公有服务		预发行市场-本方限价报价	RMBTS-CSTP-11-6	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0062	核心交易体系	指令数据	报价信息	意向报价	预发行市场意向报价	单向：Out-Only	公有服务		预发行市场-本方意向报价	RMBTS-CSTP-11-1	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0046	核心交易体系	指令数据	报价信息	点击成交报价	远期利率协议点击成交报价	单向：Out-Only	公有服务		远期利率协议市场-一次点击成交确认报价	RMBTS-CMDS-9-2	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0045	核心交易体系	指令数据	报价信息	对话报价	远期利率协议对话报价	单向：Out-Only	公有服务		远期利率协议市场-本方对话报价	RMBTS-CSTP-9-2	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0110	核心交易体系	指令数据	报价信息	点击成交报价	远期利率协议关联机构点击成交报价	单向：Out-Only	公有服务		远期利率协议市场-关联机构点击成交报价	RMBTS-CSTP-23-3	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0109	核心交易体系	指令数据	报价信息	对话报价	远期利率协议关联机构对话报价	单向：Out-Only	公有服务		远期利率协议市场-关联机构对话报价	RMBTS-CSTP-23-2	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0111	核心交易体系	指令数据	报价信息	双向报价	远期利率协议关联机构双向报价	单向：Out-Only	公有服务		远期利率协议市场-关联机构双向报价	RMBTS-CSTP-23-4	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0108	核心交易体系	指令数据	报价信息	意向报价	远期利率协议关联机构意向报价	单向：Out-Only	公有服务		远期利率协议市场-关联机构意向报价	RMBTS-CSTP-23-1	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0047	核心交易体系	指令数据	报价信息	双向报价	远期利率协议双向报价	单向：Out-Only	公有服务		远期利率协议市场-双向报价	RMBTS-CMDS-9-3	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0044	核心交易体系	指令数据	报价信息	意向报价	远期利率协议意向报价	单向：Out-Only	公有服务		远期利率协议市场-意向报价	RMBTS-CMDS-9-1	/			/	IMIX	本币交易系统	市场数据发布系统
