服务编号	所属服务体系	所属主体域	所属数据实体	所属数据实体类型	所属服务名	MEP(消息交换模式)	公有/私有	对方接口编号（私有服务）	接口名称	接口编号	服务合并建议	服务数据更新时间	服务数据更新频率	私有服务同一业务双向交互编号	数据交换方式	服务发布者	服务订阅者
PUB-RMBTS-I-0042	核心交易体系	指令数据	报价信息	对话报价	债券借贷对话报价	单向：Out-Only	公有服务		债券借贷市场-本方对话报价	RMBTS-CSTP-8-2	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0106	核心交易体系	指令数据	报价信息	对话报价	债券借贷关联机构对话报价	单向：Out-Only	公有服务		债券借贷市场-关联机构对话报价	RMBTS-CSTP-22-2	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0105	核心交易体系	指令数据	报价信息	意向报价	债券借贷关联机构意向报价	单向：Out-Only	公有服务		债券借贷市场-关联机构意向报价	RMBTS-CSTP-22-1	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0041	核心交易体系	指令数据	报价信息	意向报价	债券借贷意向报价	单向：Out-Only	公有服务		债券借贷市场-意向报价	RMBTS-CMDS-8-1	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0026	核心交易体系	指令数据	报价信息	对话报价	债券远期对话报价	单向：Out-Only	公有服务		债券远期市场-本方对话报价	RMBTS-CSTP-6-2	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0093	核心交易体系	指令数据	报价信息	对话报价	债券远期关联机构对话报价	单向：Out-Only	公有服务		债券远期市场-关联机构对话报价	RMBTS-CSTP-20-2	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0092	核心交易体系	指令数据	报价信息	意向报价	债券远期关联机构意向报价	单向：Out-Only	公有服务		债券远期市场-关联机构意向报价	RMBTS-CSTP-20-1	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0025	核心交易体系	指令数据	报价信息	意向报价	债券远期意向报价	单向：Out-Only	公有服务		债券远期市场-意向报价	RMBTS-CMDS-6-1	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0006	核心交易体系	指令数据	报价信息	对话报价	质押式回购对话报价	单向：Out-Only	公有服务		质押式回购市场-本方对话报价	RMBTS-CSTP-2-2	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PRV-RMBTS-I-0002	核心交易体系	指令数据	报价信息	对话报价	质押式回购对话报价请求--结算代理模块	双向：Out-In	私有服务	PRV-RMBSCM-I-0002	发送质押式回购对话报价	RMBTS-RMBSCM-7-1	/			6.0	IMIX	本币交易系统	结算代理模块
PRV-RMBSCM-I-0002	核心交易体系	指令数据	报价信息	对话报价	质押式回购对话报价响应--结算代理模块	单向：Out-Only	私有服务	PRV-RMBTS-I-0002	接收质押式回购对话报价响应	RMBTS-RMBSCM-7-2	/			6.0	IMIX	结算代理模块	本币交易系统
PUB-RMBTS-I-0073	核心交易体系	指令数据	报价信息	对话报价	质押式回购关联机构对话报价	单向：Out-Only	公有服务		质押式回购市场-关联机构对话报价	RMBTS-CSTP-16-2	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0074	核心交易体系	指令数据	报价信息	双向报价	质押式回购关联机构双向报价	单向：Out-Only	公有服务		质押式回购市场-关联机构双向报价	RMBTS-CSTP-16-3	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0072	核心交易体系	指令数据	报价信息	意向报价	质押式回购关联机构意向报价	单向：Out-Only	公有服务		质押式回购市场-关联机构意向报价	RMBTS-CSTP-16-1	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0007	核心交易体系	指令数据	报价信息	双向报价	质押式回购双向报价	单向：Out-Only	公有服务		质押式回购市场-双向报价	RMBTS-CMDS-2-2	/			/	IMIX	本币交易系统	市场数据发布系统
PRV-RMBTS-I-0003	核心交易体系	指令数据	报价信息	双向报价	质押式回购双向报价请求--结算代理模块	双向：Out-In	私有服务	PRV-RMBSCM-I-0003	发送质押式回购双向报价	RMBTS-RMBSCM-8-1	/			7.0	IMIX	本币交易系统	结算代理模块
PRV-RMBSCM-I-0003	核心交易体系	指令数据	报价信息	双向报价	质押式回购双向报价响应--结算代理模块	单向：Out-Only	私有服务	PRV-RMBTS-I-0003	接收质押式回购双向报价响应	RMBTS-RMBSCM-8-2	/			7.0	IMIX	结算代理模块	本币交易系统
PUB-RMBTS-I-0005	核心交易体系	指令数据	报价信息	意向报价	质押式回购意向报价	单向：Out-Only	公有服务		质押式回购市场-意向报价	RMBTS-CMDS-2-1	/			/	IMIX	本币交易系统	市场数据发布系统
PRV-RMBTS-I-0001	核心交易体系	指令数据	报价信息	意向报价	质押式回购意向报价请求--结算代理模块	双向：Out-In	私有服务	PRV-RMBSCM-I-0001	发送质押式回购意向报价	RMBTS-RMBSCM-6-1	/			8.0	IMIX	本币交易系统	结算代理模块
PRV-RMBSCM-I-0001	核心交易体系	指令数据	报价信息	意向报价	质押式回购意向报价响应--结算代理模块	单向：Out-Only	私有服务	PRV-RMBTS-I-0001	接收质押式回购意向报价响应	RMBTS-RMBSCM-6-2	/			8.0	IMIX	结算代理模块	本币交易系统
PUB-RMBTS-I-0067	核心交易体系	指令数据	报价信息	点击成交报价	做市券种最优双边报价	单向：Out-Only	公有服务		做市券种最优双边报价数据	RMBTS-RMBMSS-9	/			/	IMIX	本币交易系统	本币监测系统
PUB-RMBTS-I-0061	核心交易体系	成交数据	成交信息	ETF	ETF基金买卖成交	单向：Out-Only	公有服务		ETF市场-成交	RMBTS-CMDS-10-6	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0158	核心交易体系	成交数据	成交信息	指令成交	本币成交结果--北金所执行报告	单向：Out-Only	私有服务		成交结果（执行报告）	RMBTS-CFAT-4-2   	/			57.0	IMIX	本币交易系统	北金所
PUB-RMBTS-I-0157	核心交易体系	成交数据	成交信息	指令成交	本币成交意向--北金所承诺指令	单向：Out-Only	私有服务		承诺指令（订单）	RMBTS-CFAT-4-1	/			57.0	IMIX	北金所	本币交易系统
PRV-BMS-I-0001	核心交易体系	成交数据	成交信息	成交查询	本币质押式回购成交信息查询请求--有效成交	单向：Out-Only	私有服务	PRV-RMBTS-I-0014	质押式回购有效成交记录数请求	BMS-RMBTS-1	/			58.0	IMIX	市场基准参考系统	本币交易系统
PRV-RMBTS-I-0014	核心交易体系	成交数据	成交信息	成交查询	本币质押式回购成交信息查询响应--有效成交	双向：In-Out	私有服务	PRI-BMS-I-0001	质押式回购有效成交记录数响应信息	RMBTS-BMS-4	/			58.0	IMIX	本币交易系统	市场基准参考系统
PUB-XTRADE-I-0001	核心交易体系	成交数据	成交信息	标准产品	标准利率互换成交明细--本币	单向：Out-Only	公有服务		成交数据	XTRADE-RMBTS-IRS-11	Xtrade给本币、交易后、本币CSTP系统的标准利率互换成交明细服务合并			/	IMIX	标准金融资产及衍生品交易系统	本币交易系统
PUB-XTRADE-I-0006	核心交易体系	成交数据	成交信息	标准产品	标准利率互换成交明细--交易后	单向：Out-Only	公有服务		接口组-成交明细（交易后）	XTRADE-PTPS-SIRS-11	Xtrade给本币、交易后、本币CSTP系统的标准利率互换成交明细服务合并			/	IMIX	标准金融资产及衍生品交易系统	交易后处理系统
PUB-XTRADE-I-0011	核心交易体系	成交数据	成交信息	标准产品	标准债券远期成交明细--本币CSTP	单向：Out-Only	公有服务		接口组-标准债券远期成交明细（RMBCSTP）	XTRADE-RMBCSTP-SBF-11	Xtrade给本币、交易后、本币CSTP系统的标准利率互换成交明细服务合并			/	IMIX	标准金融资产及衍生品交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0038	核心交易体系	成交数据	成交信息	利率衍生品	利率互换(浮动)浮动成交	单向：Out-Only	公有服务		利率互换市场-（浮动）浮动成交	RMBTS-CMDS-7-8	本币发给本币检测、市场数据发布系统的利率互换基准互换服务合并			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0039	核心交易体系	成交数据	成交信息	利率衍生品	利率互换(浮动)浮动成交	单向：Out-Only	公有服务		利率互换基准成交数据	RMBTS-RMBMSS-16	本币发给本币检测、市场数据发布系统的利率互换基准互换服务合并			/	IMIX	本币交易系统	本币监测系统
PUB-RMBTS-I-0037	核心交易体系	成交数据	成交信息	利率衍生品	利率互换(固定)浮动成交	单向：Out-Only	公有服务		利率互换市场-（固定）浮动成交	RMBTS-CMDS-7-7	本币发给上清所、市场数据发布系统的利率互换固浮互换服务合并			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0150	核心交易体系	成交数据	成交信息	利率衍生品	利率互换(固定)浮动成交	单向：Out-Only	公有服务		IRS净额清算-IRS成交业务要素	RMBTS-SHCH-16	本币发给上清所、市场数据发布系统的利率互换固浮互换服务合并			/	IMIX	本币交易系统	上海清算所
PUB-RMBTS-I-0104	核心交易体系	成交数据	成交信息	利率衍生品	利率互换关联机构(浮动)浮动成交	单向：Out-Only	公有服务		利率互换市场-关联机构（浮动）浮动成交 	RMBTS-CSTP-21-10	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0103	核心交易体系	成交数据	成交信息	利率衍生品	利率互换关联机构(固定)浮动成交	单向：Out-Only	公有服务		利率互换市场-关联机构（固定）浮动成交 	RMBTS-CSTP-21-9	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0053	核心交易体系	成交数据	成交信息	利率衍生品	利率互换期权成交	单向：Out-Only	公有服务		利率互换期权市场-本方成交	RMBTS-CSTP-13-2	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0122	核心交易体系	成交数据	成交信息	利率衍生品	利率互换期权关联机构成交	单向：Out-Only	公有服务		利率互换期权市场-关联机构成交	RMBTS-CSTP-27-2	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0055	核心交易体系	成交数据	成交信息	利率衍生品	利率上限/下限期权成交	单向：Out-Only	公有服务		利率上限/下限期权市场-本方成交	RMBTS-CSTP-14-2	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0124	核心交易体系	成交数据	成交信息	利率衍生品	利率上限/下限期权关联机构成交	单向：Out-Only	公有服务		利率上限/下限期权市场-关联机构成交	RMBTS-CSTP-28-2	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0011	核心交易体系	成交数据	成交信息	买断式回购	买断式回购成交	单向：Out-Only	公有服务		买断式回购市场-成交	RMBTS-CMDS-3-2	/			/	IMIX	本币交易系统	市场数据发布系统
PRV-SHCH-I-0004	核心交易体系	成交数据	成交信息	买断式回购	买断式回购成交反馈--清算所超短期融资券	单向：Out-Only	私有服务	PRV-RMBTS-I-0023	超短期融资券成交-买断式回购成交反馈	RMBTS-SHCH-4-2	/			12.0	IMIX	上海清算所	本币交易系统
PRV-SHCH-I-0009	核心交易体系	成交数据	成交信息	买断式回购	买断式回购成交反馈--清算所短期融资券	单向：Out-Only	私有服务	PRV-RMBTS-I-0028	清算所托管短期融资券成交-买断式回购成交反馈	RMBTS-SHCH-9-2	/			11.0	IMIX	上海清算所	本币交易系统
PRV-RMBTS-I-0023	核心交易体系	成交数据	成交信息	买断式回购	买断式回购成交--清算所超短期融资券	双向：Out-In	私有服务	PRV-SHCH-I-0004	超短期融资券成交-买断式回购成交	RMBTS-SHCH-4-1	/			12.0	IMIX	本币交易系统	上海清算所
PRV-RMBTS-I-0028	核心交易体系	成交数据	成交信息	买断式回购	买断式回购成交--清算所短期融资券	双向：Out-In	私有服务	PRV-SHCH-I-0009	清算所托管短期融资券成交-买断式回购成交	RMBTS-SHCH-9-1	/			11.0	IMIX	本币交易系统	上海清算所
PUB-RMBTS-I-0078	核心交易体系	成交数据	成交信息	买断式回购	买断式回购关联机构成交	单向：Out-Only	公有服务		买断式回购市场-关联机构成交	RMBTS-CSTP-17-3	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-FXTS-I-0014	核心交易体系	成交数据	成交信息	外汇市场	人民币外汇市场成交	单向：Out-Only	公有服务		结售汇竞价	FXTS-SHCH-6	/			/	IMIX	外汇交易系统	上海清算所
PRV-SHCH-I-0015	核心交易体系	成交数据	成交信息	同业存单	同业存单成交反馈--清算所	单向：Out-Only	私有服务	PRV-RMBTS-I-0034	同业存单成交反馈	RMBTS-SHCH-15-2	/			13.0	IMIX	上海清算所	本币交易系统
PRV-RMBTS-I-0034	核心交易体系	成交数据	成交信息	同业存单	同业存单成交--清算所	双向：Out-In	私有服务	PRV-SHCH-I-0015	同业存单成交	RMBTS-SHCH-15-1	/			13.0	IMIX	本币交易系统	上海清算所
PUB-FXTS-I-0015	核心交易体系	成交数据	成交信息	外汇市场	外币对市场成交	单向：Out-Only	公有服务		外币对竞价	FXTS-SHCH-7	/			/	IMIX	外汇交易系统	上海清算所
PRV-PTPS-I-0004	核心交易体系	成交数据	成交信息	外汇市场	外汇成交反馈--交易后	单向：Out-Only	私有服务	PRV-FXTS-I-0001	成交确认	FXTS-PTPS-1-R	/			/	IMIX	交易后处理系统	外汇交易系统
PRV-PTPS-I-0007	核心交易体系	成交数据	成交信息	成交查询	外汇成交信息查询请求--按日期	单向：Out-Only	私有服务	PRV-FXTS-I-0008	按日期查询-查询请求	FXTS-PTPS-4-1	/			59.0	IMIX	交易后处理系统	外汇交易系统
PRV-FXTSCSTP-I-0002	核心交易体系	成交数据	成交信息	成交查询	外汇成交信息查询请求--按日期	单向：Out-Only	私有服务	PRV-FXTS-I-0008	按日期查询-查询请求	FXTS-FXCSTP-2-1	/			/	IMIX	外汇交易直通式处理系统（外汇CSTP）	外汇交易系统
PRV-FXTSCSTP-I-0001	核心交易体系	成交数据	成交信息	成交查询	外汇成交信息查询请求--单笔成交	单向：Out-Only	私有服务	PRV-FXTS-I-0007	按成交编号查询-查询请求	FXTS-FXCSTP-3-1	/			60.0	IMIX	外汇交易直通式处理系统（外汇CSTP）	外汇交易系统
PRV-PTPS-I-0006	核心交易体系	成交数据	成交信息	成交查询	外汇成交信息查询请求--单笔成交	单向：Out-Only	私有服务	PRV-FXTS-I-0006	单笔成交查询-查询请求	FXTS-PTPS-3-1	/			61.0	IMIX	交易后处理系统	外汇交易系统
PRV-PTPS-I-0005	核心交易体系	成交数据	成交信息	成交查询	外汇成交信息查询请求--有效成交	单向：Out-Only	私有服务	PRV-FXTS-I-0005	有效成交查询-查询请求	FXTS-PTPS-2-1	/			62.0	IMIX	交易后处理系统	外汇交易系统
PRV-FXTS-I-0008	核心交易体系	成交数据	成交信息	成交查询	外汇成交信息查询响应--按日期	双向：In-Out	私有服务	PRV-PTPS-I-0007	按日期查询-查询请求反馈	FXTS-PTPS-4-2	/			59.0	IMIX	外汇交易系统	交易后处理系统
PRV-FXTS-I-0007	核心交易体系	成交数据	成交信息	成交查询	外汇成交信息查询响应--单笔成交	双向：In-Out	私有服务	PRV-FXTSCSTP-I-0001	按成交编号查询-查询请求返回	FXTS-FXCSTP-3-2	/			60.0	IMIX	外汇交易系统	外汇交易直通式处理系统（外汇CSTP）
PRV-FXTS-I-0006	核心交易体系	成交数据	成交信息	成交查询	外汇成交信息查询响应--单笔成交	双向：In-Out	私有服务	PRV-PTPS-I-0006	单笔成交查询-查询请求返回	FXTS-PTPS-3-2	/			61.0	IMIX	外汇交易系统	交易后处理系统
PRV-FXTS-I-0005	核心交易体系	成交数据	成交信息	成交查询	外汇成交信息查询响应--有效成交	双向：In-Out	私有服务	PRV-PTPS-I-0005	有效成交查询-查询请求返回	FXTS-PTPS-2-2	/			62.0	IMIX	外汇交易系统	交易后处理系统
PUB-FXTS-I-0008	核心交易体系	成交数据	成交信息	外汇市场	外汇掉期成交	单向：Out-Only	公有服务		外汇掉期成交	FXTS-BMS-2	外汇发给上清所、基准系统的外汇掉期成交服务合并			/	IMIX	外汇交易系统	市场基准参考系统
PUB-CSWAP-I-0001	核心交易体系	成交数据	成交信息	标准产品	外汇掉期成交--CSWAP	单向：Out-Only	公有服务		CSWAP成交明细	CSWAP-FXTS-5	/			/	IMIX	标准化外汇产品交易系统	外汇交易系统
PUB-FXTS-I-0018	核心交易体系	成交数据	成交信息	外汇市场	外汇掉期成交--黄金询价交易	单向：Out-Only	公有服务		黄金询价掉期交易	FXTS-SGE-3	/			/	IMIX	外汇交易系统	上海黄金交易所
PRV-FXTS-I-0003	核心交易体系	成交数据	成交信息	外汇市场	外汇掉期成交--交易后	双向：Out-In	私有服务	PRV-PTPS-I-0004	成交数据-掉期	FXTS-PTPS-1-2	/			/	IMIX	外汇交易系统	交易后处理系统
PUB-FXTS-I-0013	核心交易体系	成交数据	成交信息	外汇市场	外汇掉期成交--完成交易确认	单向：Out-Only	公有服务		日终批量发送完成交易确认的成交数据-掉期净额交易数据	FXTS-SHCH-1-2	外汇发给上清所、基准系统的外汇掉期成交服务合并			/	IMIX	外汇交易系统	上海清算所
PUB-FXTS-I-0011	核心交易体系	成交数据	成交信息	外汇市场	外汇货币掉期成交	单向：Out-Only	公有服务		返回成交数据-货币互换市场	FXTS-CMDS-1-7	/			/	IMIX	外汇交易系统	市场数据发布系统
PUB-FXTS-I-0010	核心交易体系	成交数据	成交信息	外汇市场	外汇货币掉期成交--利率互换	单向：Out-Only	公有服务		返回成交数据-利率互换市场	FXTS-CMDS-1-6	/			/	IMIX	外汇交易系统	市场数据发布系统
PRV-FXTS-I-0001	核心交易体系	成交数据	成交信息	外汇市场	外汇即期/远期成交--交易后	双向：Out-In	私有服务	PRV-PTPS-I-0004	成交数据-即期/远期	FXTS-PTPS-1-1	外汇发送给交易后的即期成交、远期成交服务合并			/	IMIX	外汇交易系统	交易后处理系统
PRV-FXTS-I-0002	核心交易体系	成交数据	成交信息	外汇市场	外汇即期/远期成交--交易后	双向：Out-In	私有服务	PRV-PTPS-I-0004	成交数据-即期/远期	FXTS-PTPS-1-1	外汇发送给交易后的即期成交、远期成交服务合并			/	IMIX	外汇交易系统	交易后处理系统
PUB-FXTS-I-0012	核心交易体系	成交数据	成交信息	外汇市场	外汇即期/远期成交--完成交易确认	单向：Out-Only	公有服务		日终批量发送完成交易确认的成交数据-即期/远期净额交易数据	FXTS-SHCH-1-1	/			/	IMIX	外汇交易系统	上海清算所
PUB-FXTS-I-0006	核心交易体系	成交数据	成交信息	外汇市场	外汇即期成交	单向：Out-Only	公有服务		返回成交数据-即期市场	FXTS-CMDS-1-2	/			/	IMIX	外汇交易系统	市场数据发布系统
PUB-FXTS-I-0016	核心交易体系	成交数据	成交信息	外汇市场	外汇即期成交--黄金询价交易	单向：Out-Only	公有服务		黄金询价即期交易	FXTS-SGE-1	/			/	IMIX	外汇交易系统	上海黄金交易所
PRV-FXTS-I-0004	核心交易体系	成交数据	成交信息	外汇市场	外汇期权成交--交易后	双向：Out-In	私有服务	PRV-PTPS-I-0004	成交数据-外汇期权	FXTS-PTPS-1-3	/			/	IMIX	外汇交易系统	交易后处理系统
PUB-FXTS-I-0007	核心交易体系	成交数据	成交信息	外汇市场	外汇远期成交	单向：Out-Only	公有服务		外汇远期成交-成交数据	FXTS-BMS-1-2	/			/	IMIX	外汇交易系统	市场基准参考系统
PUB-FXTS-I-0009	核心交易体系	成交数据	成交信息	外汇市场	外汇远期成交--NDF	单向：Out-Only	公有服务		返回成交数据-NDF市场	FXTS-CMDS-1-5	/			/	IMIX	外汇交易系统	市场数据发布系统
PUB-FXTS-I-0017	核心交易体系	成交数据	成交信息	外汇市场	外汇远期成交--黄金询价交易	单向：Out-Only	公有服务		黄金询价远期交易	FXTS-SGE-2	/			/	IMIX	外汇交易系统	上海黄金交易所
PUB-RMBTS-I-0017	核心交易体系	成交数据	成交信息	现券买卖	现券买卖成交	单向：Out-Only	公有服务		现券买卖市场-成交	RMBTS-CMDS-4-5	/			/	IMIX	本币交易系统	市场数据发布系统
PRV-RMBTS-I-0074	核心交易体系	成交数据	成交信息	现券买卖	现券买卖成交--财政部做市支持	单向：Out-Only	私有服务	PRV-MMSSMF-I-0001	财政部国债做市支持系统发送给本币交易系统的现券成交	MMSSMF-RMBTS-1-R	/			63.0	IMIX	财政部做市支持系统	本币交易系统
PRV-MMSSMF-I-0001	核心交易体系	成交数据	成交信息	现券买卖	现券买卖成交--财政部做市支持反馈	单向：Out-Only	私有服务	PRV-RMBTS-I-0074	CDC发送给本币交易系统的现券买卖流通量	MMSSMF-RMBTS-1	/			63.0	IMIX	本币交易系统	财政部做市支持系统
PRV-CDC-I-0001	核心交易体系	成交数据	成交信息	现券买卖	现券买卖成交反馈--国债登	单向：Out-Only	私有服务	PRV-RMBTS-I-0015	CDC发送给本币交易系统的成交反馈	RMBTS-CDC-1-R	/			64.0	IMIX	中央国债登记结算公司	本币交易系统
PRV-SHCH-I-0002	核心交易体系	成交数据	成交信息	现券买卖	现券买卖成交反馈--清算所超短期融资券	单向：Out-Only	私有服务	PRV-RMBTS-I-0021	超短期融资券成交-现券成交反馈	RMBTS-SHCH-2-2	/			14.0	IMIX	上海清算所	本币交易系统
PRV-SHCH-I-0012	核心交易体系	成交数据	成交信息	现券买卖	现券买卖成交反馈--清算所定向工具                                                                         	单向：Out-Only	私有服务	PRV-RMBTS-I-0031	定向工具成交-现券市场成交反馈	RMBTS-SHCH-12-2	/			65.0	IMIX	上海清算所	本币交易系统
PRV-SHCH-I-0007	核心交易体系	成交数据	成交信息	现券买卖	现券买卖成交反馈--清算所短期融资券	单向：Out-Only	私有服务	PRV-RMBTS-I-0026	清算所托管短期融资券成交-现券成交反馈	RMBTS-SHCH-7-2	/			15.0	IMIX	上海清算所	本币交易系统
PRV-SHCH-I-0013	核心交易体系	成交数据	成交信息	现券买卖	现券买卖成交反馈--资产支持证券成交	单向：Out-Only	私有服务	PRV-RMBTS-I-0032	ABS成交-ABS资产支持证券成交反馈	RMBTS-SHCH-13-2	/			16.0	IMIX	上海清算所	本币交易系统
PRV-RMBTS-I-0015	核心交易体系	成交数据	成交信息	现券买卖	现券买卖成交--国债登	双向：Out-In	私有服务	PRV-CDC-I-0001	本币交易系统发送给CDC的成交明细-国债做市支持系统现券买卖	RMBTS-CDC-1-8	/			64.0	IMIX	本币交易系统	中央国债登记结算公司
PRV-RMBTS-I-0021	核心交易体系	成交数据	成交信息	现券买卖	现券买卖成交--清算所超短期融资券	双向：Out-In	私有服务	PRV-SHCH-I-0002	超短期融资券成交-现券成交	RMBTS-SHCH-2-1	/			14.0	IMIX	本币交易系统	上海清算所
PRV-RMBTS-I-0031	核心交易体系	成交数据	成交信息	现券买卖	现券买卖成交--清算所定向工具                                                                         	双向：Out-In	私有服务	PRV-SHCH-I-0012	定向工具成交-现券市场成交	RMBTS-SHCH-12-1	/			65.0	IMIX	本币交易系统	上海清算所
PRV-RMBTS-I-0026	核心交易体系	成交数据	成交信息	现券买卖	现券买卖成交--清算所短期融资券	双向：Out-In	私有服务	PRV-SHCH-I-0007	清算所托管短期融资券成交-现券成交	RMBTS-SHCH-7-1	/			15.0	IMIX	本币交易系统	上海清算所
PUB-RMBTS-I-0024	核心交易体系	成交数据	成交信息	现券买卖	现券买卖成交--资产支持证券	单向：Out-Only	公有服务		资产支持类证券市场-成交	RMBTS-CMDS-5-6	确认合并，本币发送给市场数据发布系统的资产支持证券成交服务合并至本币发送给数据发布系统的现券买卖成交			/	IMIX	本币交易系统	市场数据发布系统
PRV-RMBTS-I-0032	核心交易体系	成交数据	成交信息	现券买卖	现券买卖成交--资产支持证券	双向：Out-In	私有服务	PRV-SHCH-I-0013	ABS成交-ABS资产支持证券成交	RMBTS-SHCH-13-1	/			16.0	IMIX	本币交易系统	上海清算所
PUB-RMBTS-I-0084	核心交易体系	成交数据	成交信息	现券买卖	现券买卖关联机构成交	单向：Out-Only	公有服务		现券买卖市场-关联机构成交	RMBTS-CSTP-18-8	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0091	核心交易体系	成交数据	成交信息	现券买卖	现券买卖关联机构成交--资产支持证券	单向：Out-Only	公有服务		资产支持证券市场-关联机构成交	RMBTS-CSTP-19-7	确认合并，本币发送给市场数据发布系统的资产支持证券关联机构成交服务合并至本币发送给数据发布系统的现券买卖关联机构成交			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0004	核心交易体系	成交数据	成交信息	信用拆借	信用拆借成交	单向：Out-Only	公有服务		信用拆借市场-成交	RMBTS-CMDS-1-3	/			/	IMIX	本币交易系统	市场数据发布系统
