服务编号	所属服务体系	所属主体域	所属数据实体	所属数据实体类型	所属服务名	MEP(消息交换模式)	公有/私有	对方接口编号（私有服务）	接口名称	接口编号	服务合并建议	服务数据更新时间	服务数据更新频率	私有服务同一业务双向交互编号	数据交换方式	服务发布者	服务订阅者
PUB-RMBTS-I-0071	核心交易体系	成交数据	成交信息	信用拆借	信用拆借关联机构成交	单向：Out-Only	公有服务		信用拆借市场-关联机构成交	RMBTS-CSTP-15-4	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PRV-SHCH-I-0001	核心交易体系	成交数据	成交信息	信用风险缓释凭证	信用风险缓释凭证成交反馈--清算所	单向：Out-Only	私有服务	PRV-RMBTS-I-0020	信用风险缓释凭证成交反馈	RMBTS-SHCH-1-2	/			17.0	IMIX	上海清算所	本币交易系统
PRV-RMBTS-I-0020	核心交易体系	成交数据	成交信息	信用风险缓释凭证	信用风险缓释凭证成交--清算所	双向：Out-In	私有服务	PRV-SHCH-I-0001	信用风险缓释凭证成交	RMBTS-SHCH-1-1	/			17.0	IMIX	本币交易系统	上海清算所
PUB-RMBTS-I-0051	核心交易体系	成交数据	成交信息	信用风险缓释凭证	信用缓释凭证成交	单向：Out-Only	公有服务		信用缓释凭证市场-本方成交	RMBTS-CSTP-10-3	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0115	核心交易体系	成交数据	成交信息	信用风险缓释凭证	信用缓释凭证关联机构成交	单向：Out-Only	公有服务		信用缓释凭证市场-关联机构成交	RMBTS-CSTP-24-3	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0066	核心交易体系	成交数据	成交信息	预发行	预发行市场成交	单向：Out-Only	公有服务		预发行市场-成交	RMBTS-CMDS-11-2	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0120	核心交易体系	成交数据	成交信息	预发行	预发行市场关联机构成交	单向：Out-Only	公有服务		预发行市场-关联机构成交	RMBTS-CSTP-25-7	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0048	核心交易体系	成交数据	成交信息	利率衍生品	远期利率协议成交	单向：Out-Only	公有服务		远期利率协议市场-成交	RMBTS-CMDS-9-4	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0112	核心交易体系	成交数据	成交信息	利率衍生品	远期利率协议关联机构成交	单向：Out-Only	公有服务		远期利率协议市场-关联机构成交	RMBTS-CSTP-23-5	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0043	核心交易体系	成交数据	成交信息	债券借贷	债券借贷成交	单向：Out-Only	公有服务		债券借贷市场-成交业务	RMBTS-CMDS-8-2	/			/	IMIX	本币交易系统	市场数据发布系统
PRV-SHCH-I-0006	核心交易体系	成交数据	成交信息	债券借贷	债券借贷成交反馈--清算所超短期融资券	单向：Out-Only	私有服务	PRV-RMBTS-I-0025	超短期融资券成交-债券借贷成交反馈	RMBTS-SHCH-6-2	/			18.0	IMIX	上海清算所	本币交易系统
PRV-SHCH-I-0011	核心交易体系	成交数据	成交信息	债券借贷	债券借贷成交反馈--清算所短期融资券	单向：Out-Only	私有服务	PRV-RMBTS-I-0030	清算所托管短期融资券成交-债券借贷成交反馈	RMBTS-SHCH-11-2	/			19.0	IMIX	上海清算所	本币交易系统
PRV-RMBTS-I-0025	核心交易体系	成交数据	成交信息	债券借贷	债券借贷成交--清算所超短期融资券	双向：Out-In	私有服务	PRV-SHCH-I-0006	超短期融资券成交-债券借贷成交	RMBTS-SHCH-6-1	/			18.0	IMIX	本币交易系统	上海清算所
PRV-RMBTS-I-0030	核心交易体系	成交数据	成交信息	债券借贷	债券借贷成交--清算所短期融资券	双向：Out-In	私有服务	PRV-SHCH-I-0011	清算所托管短期融资券成交-债券借贷成交	RMBTS-SHCH-11-1	/			19.0	IMIX	本币交易系统	上海清算所
PUB-RMBTS-I-0107	核心交易体系	成交数据	成交信息	债券借贷	债券借贷关联机构成交	单向：Out-Only	公有服务		债券借贷市场-关联机构成交	RMBTS-CSTP-22-3	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0027	核心交易体系	成交数据	成交信息	债券远期	债券远期成交	单向：Out-Only	公有服务		债券远期市场-成交	RMBTS-CMDS-6-2	/			/	IMIX	本币交易系统	市场数据发布系统
PRV-SHCH-I-0005	核心交易体系	成交数据	成交信息	债券远期	债券远期成交反馈--清算所超短期融资券	单向：Out-Only	私有服务	PRV-RMBTS-I-0024	超短期融资券成交-债券远期成交反馈	RMBTS-SHCH-5-2	/			20.0	IMIX	上海清算所	本币交易系统
PRV-SHCH-I-0010	核心交易体系	成交数据	成交信息	债券远期	债券远期成交反馈--清算所短期融资券	单向：Out-Only	私有服务	PRV-RMBTS-I-0029	清算所托管短期融资券成交-债券远期成交反馈	RMBTS-SHCH-10-2	/			21.0	IMIX	上海清算所	本币交易系统
PRV-RMBTS-I-0024	核心交易体系	成交数据	成交信息	债券远期	债券远期成交--清算所超短期融资券	双向：Out-In	私有服务	PRV-SHCH-I-0005	超短期融资券成交-债券远期成交	RMBTS-SHCH-5-1	/			20.0	IMIX	本币交易系统	上海清算所
PRV-RMBTS-I-0029	核心交易体系	成交数据	成交信息	债券远期	债券远期成交--清算所短期融资券	双向：Out-In	私有服务	PRV-SHCH-I-0010	清算所托管短期融资券成交-债券远期成交	RMBTS-SHCH-10-1	/			21.0	IMIX	本币交易系统	上海清算所
PUB-RMBTS-I-0094	核心交易体系	成交数据	成交信息	债券远期	债券远期关联机构成交	单向：Out-Only	公有服务		债券远期市场-关联机构成交	RMBTS-CSTP-20-3	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-XTRADE-I-0016	核心交易体系	成交数据	成交信息	标准产品	质押匿名点击成交	单向：Out-Only	公有服务		质押匿名点击成交明细发往监测系统	XTRADE-RMBMSS-Repo-4-2	/			/	IMIX	标准金融资产及衍生品交易系统	本币监测系统
PRV-XTRADE-I-0011	核心交易体系	成交数据	成交信息	标准产品	质押匿名点击成交--本币	双向：Out-In	私有服务	PRV-RMBTS-I-0073	接口组-质押匿名点击成交请求交互（本币）	XTRADE-RMBTS-Repo-1	/			66.0	IMIX	标准金融资产及衍生品交易系统	本币交易系统
PUB-XTRADE-I-0017	核心交易体系	成交数据	成交信息	标准产品	质押匿名点击成交--撮合成交	单向：Out-Only	公有服务		质押匿名点击撮合成交明细发往监测系统	XTRADE-RMBMSS-Repo-4-1	/			/	IMIX	标准金融资产及衍生品交易系统	本币监测系统
PRV-RMBTS-I-0073	核心交易体系	成交数据	成交信息	标准产品	质押匿名点击成交反馈--本币	单向：Out-Only	私有服务	PRV-XTRADE-I-0011	接口组-质押匿名点击成交请求交互（本币）-反馈	XTRADE-RMBTS-Repo-1-R	/			66.0	IMIX	本币交易系统	标准金融资产及衍生品交易系统
PUB-RMBTS-I-0008	核心交易体系	成交数据	成交信息	质押式回购	质押式回购成交	单向：Out-Only	公有服务		质押式回购市场-成交	RMBTS-CMDS-2-3	/			/	IMIX	本币交易系统	市场数据发布系统
PRV-SHCH-I-0003	核心交易体系	成交数据	成交信息	质押式回购	质押式回购成交反馈--清算所超短期融资券	单向：Out-Only	私有服务	PRV-RMBTS-I-0022	超短期融资券成交-质押式回购成交反馈	RMBTS-SHCH-3-2	/			22.0	IMIX	上海清算所	本币交易系统
PRV-SHCH-I-0008	核心交易体系	成交数据	成交信息	质押式回购	质押式回购成交反馈--清算所短期融资券	单向：Out-Only	私有服务	PRV-RMBTS-I-0027	清算所托管短期融资券成交-质押式回购成交反馈	RMBTS-SHCH-8-2	/			23.0	IMIX	上海清算所	本币交易系统
PRV-SHCH-I-0014	核心交易体系	成交数据	成交信息	质押式回购	质押式回购成交反馈--清算所资产支持证券	单向：Out-Only	私有服务	PRV-RMBTS-I-0033	ABS成交-ABS质押式回购成交反馈	RMBTS-SHCH-14-2	/			24.0	IMIX	上海清算所	本币交易系统
PRV-RMBTS-I-0022	核心交易体系	成交数据	成交信息	质押式回购	质押式回购成交--清算所超短期融资券	双向：Out-In	私有服务	PRV-SHCH-I-0003	超短期融资券成交-质押式回购成交	RMBTS-SHCH-3-1	/			22.0	IMIX	本币交易系统	上海清算所
PRV-RMBTS-I-0027	核心交易体系	成交数据	成交信息	质押式回购	质押式回购成交--清算所短期融资券	双向：Out-In	私有服务	PRV-SHCH-I-0008	清算所托管短期融资券成交-质押式回购成交	RMBTS-SHCH-8-1	/			23.0	IMIX	本币交易系统	上海清算所
PRV-RMBTS-I-0033	核心交易体系	成交数据	成交信息	质押式回购	质押式回购成交--清算所资产支持证券	双向：Out-In	私有服务	PRV-SHCH-I-0014	ABS成交-ABS质押式回购成交	RMBTS-SHCH-14-1	/			24.0	IMIX	本币交易系统	上海清算所
PUB-RMBTS-I-0075	核心交易体系	成交数据	成交信息	质押式回购	质押式回购关联机构成交	单向：Out-Only	公有服务		质押式回购市场-关联机构成交	RMBTS-CSTP-16-4	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0059	核心交易体系	指令数据	订单信息	/	ETF基金买卖订单排列	单向：Out-Only	公有服务		ETF市场-订单排列	RMBTS-CMDS-10-4	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0060	核心交易体系	指令数据	订单信息	/	ETF基金买卖价格排列	单向：Out-Only	公有服务		ETF市场-价格排列	RMBTS-CMDS-10-5	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0057	核心交易体系	指令数据	订单信息	/	ETF基金买卖竞价订单	单向：Out-Only	公有服务		ETF市场-竞价订单	RMBTS-CMDS-10-2	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0058	核心交易体系	指令数据	订单信息	/	ETF基金买卖实时订单	单向：Out-Only	公有服务		ETF市场-实时订单	RMBTS-CMDS-10-3	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0155	核心交易体系	指令数据	订单信息	/	本币做市报价--北金所要约指令	单向：Out-Only	私有服务		要约指令（做市报价）	RMBTS-CFAT-2	/			/	IMIX	本币交易系统	北金所
PUB-RMBTS-I-0156	核心交易体系	指令数据	订单信息	/	本币做市报价撤销--北金所要约指令	单向：Out-Only	私有服务		撤销要约指令	RMBTS-CFAT-3	本币给北金所的做市报价与做市报价撤销合并			/	IMIX	本币交易系统	北金所
PUB-XTRADE-I-0018	核心交易体系	指令数据	订单信息	/	质押匿名点击订单	单向：Out-Only	公有服务		接口组-质押匿名点击报价明细发往监测系统	XTRADE-RMBMSS-Repo-5	/			/	IMIX	标准金融资产及衍生品交易系统	本币监测系统
PRV-CDC-I-0002	核心交易体系	交易限额	额度信息	/	本币买断式回购事前控制反馈--国债登	双向：In-Out	私有服务	PRV-RMBTS-I-0016	买断式回购事前控制反馈	RMBTS-CDC-2-R	/			10.0	IMIX	中央国债登记结算公司	本币交易系统
PRV-RMBTS-I-0016	核心交易体系	交易限额	额度信息	/	本币买断式回购事前控制请求--国债登	单向：Out-Only	私有服务	PRV-CDC-I-0002	买断式回购事前控制请求	RMBTS-CDC-2	/			10.0	IMIX	本币交易系统	中央国债登记结算公司
PRV-CDC-I-0003	核心交易体系	交易限额	额度信息	/	本币债券远期事前控制反馈--国债登	双向：In-Out	私有服务	PRV-RMBTS-I-0017	债券远期事前控制反馈	RMBTS-CDC-3-R	/			25.0	IMIX	中央国债登记结算公司	本币交易系统
PRV-RMBTS-I-0017	核心交易体系	交易限额	额度信息	/	本币债券远期事前控制请求--国债登	单向：Out-Only	私有服务	PRV-CDC-I-0003	债券远期事前控制请求	RMBTS-CDC-3	/			25.0	IMIX	本币交易系统	中央国债登记结算公司
PRV-ICBCRS-I-0004	核心交易体系	交易限额	额度信息	/	外汇掉期事前控制反馈--工行	双向：In-Out	私有服务	PRV-FXTS-I-0020	SWAP事前控制请求反馈	FXTS-ICBCRS-4-2	/			26.0	IMIX	工行事前控制系统	外汇交易系统
PRV-FXTS-I-0020	核心交易体系	交易限额	额度信息	/	外汇掉期事前控制请求--工行	双向：Out-In	私有服务	PRV-ICBCRS-I-0004	SWAP事前控制请求	FXTS-ICBCRS-4-1	/			26.0	IMIX	外汇交易系统	工行事前控制系统
PRV-ICBCRS-I-0005	核心交易体系	交易限额	额度信息	/	外汇货币掉期事前控制反馈--货币互换--工行	双向：In-Out	私有服务	PRV-FXTS-I-00201	CRS事前控制请求反馈	FXTS-ICBCRS-5-2	/			27.0	IMIX	工行事前控制系统	外汇交易系统
PRV-FXTS-I-0021	核心交易体系	交易限额	额度信息	/	外汇货币掉期事前控制请求--货币互换--工行	双向：Out-In	私有服务	PRV-ICBCRS-I-0005	CRS事前控制请求	FXTS-ICBCRS-5-1	/			27.0	IMIX	外汇交易系统	工行事前控制系统
PRV-ICBCRS-I-0001	核心交易体系	交易限额	额度信息	/	外汇即期事前控制反馈--工行	双向：In-Out	私有服务	PRV-FXTS-I-0017	SPOT事前控制请求反馈	FXTS-ICBCRS-1-2	/			28.0	IMIX	工行事前控制系统	外汇交易系统
PRV-FXTS-I-0017	核心交易体系	交易限额	额度信息	/	外汇即期事前控制请求--工行	双向：Out-In	私有服务	PRV-ICBCRS-I-0001	SPOT事前控制请求	FXTS-ICBCRS-1-1	/			28.0	IMIX	外汇交易系统	工行事前控制系统
PRV-FXTS-I-0019	核心交易体系	交易限额	额度信息	/	外汇交易未完成或撤销事前控制请求--工行	单向：Out-Only	私有服务		交易未完成或撤销事前控制	FXTS-ICBCRS-6	将外汇交易系统发送给工行的多交易产品的交易未完成或撤销事前控制请求服务合并在各交易产品的前控制请求服务			/	IMIX	外汇交易系统	工行事前控制系统
PRV-ICBCRS-I-0003	核心交易体系	交易限额	额度信息	/	外汇远期事前控制反馈--NDF--工行	双向：In-Out	私有服务	PRV-FXTS-I-0019	NDF事前控制请求反馈  	FXTS-ICBCRS-3-2	/			29.0	IMIX	工行事前控制系统	外汇交易系统
PRV-ICBCRS-I-0002	核心交易体系	交易限额	额度信息	/	外汇远期事前控制反馈--工行	双向：In-Out	私有服务	PRV-FXTS-I-0018	FORWARD事前控制请求反馈 	FXTS-ICBCRS-2-2	/			30.0	IMIX	工行事前控制系统	外汇交易系统
PRV-FXTS-I-0019	核心交易体系	交易限额	额度信息	/	外汇远期事前控制请求--NDF--工行	双向：Out-In	私有服务	PRV-ICBCRS-I-0003	NDF事前控制请求  	FXTS-ICBCRS-3-1	/			29.0	IMIX	外汇交易系统	工行事前控制系统
PRV-FXTS-I-0018	核心交易体系	交易限额	额度信息	/	外汇远期事前控制请求--工行	双向：Out-In	私有服务	PRV-ICBCRS-I-0002	FORWARD事前控制请求 	FXTS-ICBCRS-2-1	/			30.0	IMIX	外汇交易系统	工行事前控制系统
PUB-RMBTS-I-0145	核心交易体系	行情数据	基础行情数据	日终行情	ETF基金买卖成交行情	单向：Out-Only	公有服务		ETF买卖-基金行情	RMBTS-CMDS-21	/			/	IMIX	本币交易系统	市场数据发布系统
PRV-XTRADE-I-0009	核心交易体系	行情数据	基础行情数据	结算价	本币标准产品每日结算价格	双向：Out-In	私有服务	PRV-SHCH-I-0060	清算所-每日结算价格	XTRADE-SHCH-SIRS-9	/			67.0	IMIX	标准金融资产及衍生品交易系统	上海清算所
PRV-SHCH-I-0060	核心交易体系	行情数据	基础行情数据	结算价	本币标准产品每日结算价格反馈	单向：Out-Only	私有服务	PRV-XTRADE-I-0009	清算所-每日结算价格-反馈	XTRADE-SHCH-SIRS-9-R	/			67.0	IMIX	上海清算所	标准金融资产及衍生品交易系统
PRV-RMBTS-I-0058	核心交易体系	行情数据	基础行情数据	结算价	本币标准利率互换到期交割价	双向：Out-In	私有服务	PRV-SHCH-I-0037	标准利率互换集中清算业务-到期交割价	RMBTS-SHCH-43-1	1.确认合并，将本币发送给上清所的标准利率互换、标准债券远期到期交割价服务合并
2.将本币发送给上清所的标准利率互换、标准债券远期到期交割价服务合并至交易后发送给上清所的标准利率互换、标准债券远期到期结算价服务			68.0	IMIX	本币交易系统	上海清算所
PRV-SHCH-I-0037	核心交易体系	行情数据	基础行情数据	结算价	本币标准利率互换到期交割价反馈	单向：Out-Only	私有服务	PRV-RMBTS-I-0058	标准利率互换集中清算业务-到期交割价收到反馈	RMBTS-SHCH-43-2	1.确认合并，将上清所发送给交易后的标准利率互换、标准债券远期到期交割价反馈服务合并
2.将上清所发送给本币的标准利率互换、标准债券远期到期交割价反馈服务合并至交易后发送给上清所的标准利率互换、标准债券远期到期结算价反馈服务			68.0	IMIX	上海清算所	本币交易系统
PRV-PTPS-I-0013	核心交易体系	行情数据	基础行情数据	结算价	本币标准利率互换到期结算价	双向：Out-In	私有服务	PRV-SHCH-I-0067	标准利率互换到期结算利率	PTPS-SHCH-2	确认合并，交易后发送给上清所的标准利率互换、标准债券远期到期结算价服务合并			69.0	IMIX	交易后处理系统	上海清算所
PRV-SHCH-I-0067	核心交易体系	行情数据	基础行情数据	结算价	本币标准利率互换到期结算价反馈	单向：Out-Only	私有服务	PRV-PTPS-I-0013	标准利率互换到期结算利率收到反馈	PTPS-SHCH-2-R	确认合并，上清所发送给交易后的标准利率互换、标准债券远期到期结算价反馈服务合并			69.0	IMIX	上海清算所	交易后处理系统
PRV-RMBTS-I-0057	核心交易体系	行情数据	基础行情数据	结算价	本币标准利率互换每日结算价格	双向：Out-In	私有服务	PRV-SHCH-I-0036	标准利率互换集中清算业务-每日结算价格	RMBTS-SHCH-42-1	1.确认合并，将本币发送给上清所的标准利率互换、标准债券远期每日结算价格服务合并
2.将本币发送给上清所的标准利率互换、标准债券远期每日结算价服务合并至Xtrade发送给上清所的标准利率互换、标准债券远期每日结算价服务			70.0	IMIX	本币交易系统	上海清算所
PRV-SHCH-I-0036	核心交易体系	行情数据	基础行情数据	结算价	本币标准利率互换每日结算价格反馈	单向：Out-Only	私有服务	PRV-RMBTS-I-0057	标准利率互换集中清算业务-每日结算价收到反馈	RMBTS-SHCH-42-2	1.确认合并，将上清所发送给本币的标准利率互换、标准债券远期每日结算价格反馈服务合并
2.将本币发送给上清所的标准利率互换、标准债券远期每日结算价服务合并至Xtrade发送给上清所的标准利率互换、标准债券远期每日结算价反馈服务			70.0	IMIX	上海清算所	本币交易系统
PRV-RMBTS-I-0050	核心交易体系	行情数据	基础行情数据	结算价	本币标准债券远期到期交割价	双向：Out-In	私有服务	PRV-SHCH-I-0029	标准债券远期集中净额清算业务-到期交割价	RMBTS-SHCH-34-1	1.确认合并，将本币发送给上清所的标准利率互换、标准债券远期到期交割价服务合并
2.将本币发送给上清所的标准利率互换、标准债券远期到期交割价服务合并至交易后发送给上清所的标准利率互换、标准债券远期到期结算价服务			71.0	IMIX	本币交易系统	上海清算所
PRV-SHCH-I-0029	核心交易体系	行情数据	基础行情数据	结算价	本币标准债券远期到期交割价反馈	单向：Out-Only	私有服务	PRV-RMBTS-I-0050	标准债券远期集中净额清算业务-到期交割价收到反馈	RMBTS-SHCH-34-2	1.确认合并，将上清所发送给交易后的标准利率互换、标准债券远期到期交割价反馈服务合并
2.将上清所发送给本币的标准利率互换、标准债券远期到期交割价反馈服务合并至交易后发送给上清所的标准利率互换、标准债券远期到期结算价反馈服务			71.0	IMIX	上海清算所	本币交易系统
PRV-PTPS-I-0012	核心交易体系	行情数据	基础行情数据	结算价	本币标准债券远期到期结算价	双向：Out-In	私有服务	PRV-SHCH-I-0066	标准债券远期到期结算价	PTPS-SHCH-1	确认合并，交易后发送给上清所的标准利率互换、标准债券远期到期结算价服务合并			72.0	IMIX	交易后处理系统	上海清算所
PRV-SHCH-I-0066	核心交易体系	行情数据	基础行情数据	结算价	本币标准债券远期到期结算价反馈	单向：Out-Only	私有服务	PRV-PTPS-I-0012	标准债券远期到期结算价收到反馈	PTPS-SHCH-1-R	确认合并，上清所发送给交易后的标准利率互换、标准债券远期到期结算价反馈服务合并			72.0	IMIX	上海清算所	交易后处理系统
PRV-RMBTS-I-0049	核心交易体系	行情数据	基础行情数据	结算价	本币标准债券远期每日结算价格	双向：Out-In	私有服务	PRV-SHCH-I-0028	标准债券远期集中净额清算业务-每日结算价格	RMBTS-SHCH-33-1	1.确认合并，将本币发送给上清所的标准利率互换、标准债券远期每日结算价格服务合并
2.将本币发送给上清所的标准利率互换、标准债券远期每日结算价服务合并至Xtrade发送给上清所的标准利率互换、标准债券远期每日结算价服务			73.0	IMIX	本币交易系统	上海清算所
PRV-SHCH-I-0028	核心交易体系	行情数据	基础行情数据	结算价	本币标准债券远期每日结算价格反馈	单向：Out-Only	私有服务	PRV-RMBTS-I-0049	标准债券远期集中净额清算业务-每日结算价收到反馈	RMBTS-SHCH-33-2	1.确认合并，将上清所发送给本币的标准利率互换、标准债券远期每日结算价格反馈服务合并
2.将本币发送给上清所的标准利率互换、标准债券远期每日结算价服务合并至Xtrade发送给上清所的标准利率互换、标准债券远期每日结算价反馈服务			73.0	IMIX	上海清算所	本币交易系统
PUB-XTRADE-I-0007	核心交易体系	行情数据	基础行情数据	交易量	标准利率互换成交行情	单向：Out-Only	公有服务		行情数据/每日结算利率（CMDS）-标准利率互换成交行情数据	XTRADE-CMDS-SIRS-12-1	Xtrade发给本币、市场数据发布系统的标准利率互换成交行情（含成交量）服务合并			/	IMIX	标准金融资产及衍生品交易系统	市场数据发布系统
PUB-XTRADE-I-0003	核心交易体系	行情数据	基础行情数据	交易量	标准利率互换成交行情--本币	单向：Out-Only	公有服务		成交行情数据	XTRADE-RMBTS-IRS-12	Xtrade发给本币、市场数据发布系统的标准利率互换成交行情（含成交量）服务合并			/	IMIX	标准金融资产及衍生品交易系统	本币交易系统
PUB-XTRADE-I-0008	核心交易体系	行情数据	基础行情数据	报价档位	标准利率互换档位行情	单向：Out-Only	公有服务		行情数据/每日结算利率（CMDS）-标准利率互换档位行情	XTRADE-CMDS-SIRS-12-2	/			/	IMIX	标准金融资产及衍生品交易系统	市场数据发布系统
PUB-XTRADE-I-0010	核心交易体系	行情数据	基础行情数据	结算价	标准利率互换每日结算价格	单向：Out-Only	公有服务		行情数据/每日结算利率（CMDS）-标准利率互换每日结算价	XTRADE-CMDS-SIRS-12-4	确认合并，Xtrade发送给市场数据发布系统的标准利率互换、标准债券远期每日结算价格服务合并			/	IMIX	标准金融资产及衍生品交易系统	市场数据发布系统
PUB-XTRADE-I-0004	核心交易体系	行情数据	基础行情数据	盘中参考价	标准利率互换盘中参考价	单向：Out-Only	公有服务		盘中参考价数据	XTRADE-RMBTS-IRS-14	/			/	IMIX	标准金融资产及衍生品交易系统	本币交易系统
PUB-XTRADE-I-0009	核心交易体系	行情数据	基础行情数据	最优报价	标准利率互换最优报价行情	单向：Out-Only	公有服务		行情数据/每日结算利率（CMDS）-标准利率互换最优报价行情	XTRADE-CMDS-SIRS-12-3	Xtrade给本币、市场数据发布系统的标准利率互换最优报价行情服务合并			/	IMIX	标准金融资产及衍生品交易系统	市场数据发布系统
PUB-XTRADE-I-0002	核心交易体系	行情数据	基础行情数据	最优报价	标准利率互换最优报价行情--本币	单向：Out-Only	公有服务		最优报价数据	XTRADE-RMBTS-IRS-13	Xtrade给本币、市场数据发布系统的标准利率互换最优报价行情服务合并			/	IMIX	标准金融资产及衍生品交易系统	本币交易系统
PUB-XTRADE-I-0012	核心交易体系	行情数据	基础行情数据	交易量	标准债券远期成交行情	单向：Out-Only	公有服务		行情数据/每日结算价（CMDS）	XTRADE-CMDS-SBF-13	/			/	IMIX	标准金融资产及衍生品交易系统	市场数据发布系统
PUB-XTRADE-I-0013	核心交易体系	行情数据	基础行情数据	报价档位	标准债券远期档位行情	单向：Out-Only	公有服务			XTRADE-CMDS-SBF-13	/			/	IMIX	标准金融资产及衍生品交易系统	市场数据发布系统
PUB-XTRADE-I-0015	核心交易体系	行情数据	基础行情数据	结算价	标准债券远期每日结算价格	单向：Out-Only	公有服务			XTRADE-CMDS-SBF-13	确认合并，Xtrade发送给市场数据发布系统的标准利率互换、标准债券远期每日结算价格服务合并			/	IMIX	标准金融资产及衍生品交易系统	市场数据发布系统
PUB-XTRADE-I-0014	核心交易体系	行情数据	基础行情数据	最优报价	标准债券远期最优报价行情	单向：Out-Only	公有服务			XTRADE-CMDS-SBF-13	/			/	IMIX	标准金融资产及衍生品交易系统	市场数据发布系统
PUB-RMBTS-I-0140	核心交易体系	行情数据	基础行情数据	日终行情	利率互换(浮动)浮动成交行情	单向：Out-Only	公有服务		利率互换市场-(浮动)浮动成交行情	RMBTS-CMDS-19-2	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0142	核心交易体系	行情数据	基础行情数据	日终行情	利率互换(浮动)浮动成交行情--双边报价成交	单向：Out-Only	公有服务		利率互换市场-(浮动)浮动双边报价行情	RMBTS-CMDS-19-4	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0139	核心交易体系	行情数据	基础行情数据	日终行情	利率互换(固定)浮动成交行情	单向：Out-Only	公有服务		利率互换市场-(固定)浮动成交行情	RMBTS-CMDS-19-1	/			/	IMIX	本币交易系统	市场数据发布系统
